Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4358,4193,5165,7859,13341,11575,13820,21826
  └─ Sales Growth %,,-4%,23%,52%,70%,-13%,19%,58%
Expenses,3906,3726,4616,7175,12525,10903,12549,19675
  └─ Material Cost %,72%,70%,75%,80%,80%,78%,74%,74%
    └─ Raw material cost,3687,2686,3645,6674,10622,8664,10316,17204
    └─ Change in inventory,-562,259,226,-393,-9,334,-83,-1072
  └─ Manufacturing Cost %,12%,12%,10%,7%,11%,13%,13%,0%
  └─ Employee Cost %,3%,3%,3%,2%,2%,2%,2%,2%
  └─ Other Cost %,3%,4%,2%,2%,2%,1%,2%,15%
Operating Profit,452,467,549,684,816,672,1271,2152
OPM %,10%,11%,11%,9%,6%,6%,9%,10%
Other Income,29,27,12,27,76,45,96,107
  └─ Exceptional items,-10,-8,-7,-7,-14,-23,16,-39
  └─ Other income normal,39,35,19,34,91,68,80,147
Interest,159,192,111,86,291,366,362,528
Depreciation,70,72,83,90,175,211,252,403
Profit before tax,251,230,366,535,426,141,752,1328
Tax %,37%,16%,39%,26%,29%,29%,27%,25%
Net Profit,159,193,223,398,304,100,552,996
  └─ Exceptional items AT,-6,-7,-4,-5,-10,-16,12,-30
  └─ Profit excl Excep,165,200,227,403,314,116,540,1026
  └─ Profit for PE,165,200,227,403,314,116,540,1026
  └─ Profit for EPS,159,193,223,398,304,100,552,996
  └─ Profit Growth %,,21%,14%,77%,-22%,-63%,366%,90%
EPS in Rs,276.24,335.77,387.99,6.92,3.73,1.23,6.77,9.60
Dividend Payout %,36%,0%,0%,0%,13%,41%,15%,16%
