Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,164,152,211,218
  └─ Sales Growth %,,,-7.18%,38.87%,3.54%
Expenses,0,154,139,190,200
  └─ Material Cost %,,70%,67%,66%,65%
    └─ Raw material cost,0,117,103,136,137
    └─ Change in inventory,0,-3,-1,2,6
  └─ Manufacturing Cost %,,15%,13%,15%,0%
  └─ Employee Cost %,,5%,7%,6%,6%
  └─ Other Cost %,,4%,4%,4%,20%
Operating Profit,0,10,13,21,19
OPM %,,6%,8%,10%,9%
Other Income,0,0,2,1,3
  └─ Other income normal,0.00,0.32,2.18,1.29,2.72
Interest,0,3,5,7,8
Depreciation,0,2,4,4,4
Profit before tax,0,5,7,12,10
Tax %,,28%,29%,26%,30%
Net Profit,0,4,5,9,7
  └─ Profit excl Excep,0.00,3.67,4.77,8.73,6.75
  └─ Profit for PE,0.00,3.67,4.77,8.73,6.75
  └─ Profit for EPS,0.00,3.67,4.77,8.73,6.75
  └─ Profit Growth %,,,29.97%,83.02%,-22.68%
EPS in Rs,0.00,2.13,2.63,4.29,3.32
Dividend Payout %,,0%,0%,5%,15%
