Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,2710,3017,2987,2605,3336,3959,4189,4186
  └─ Sales Growth %,,11.33%,-1.00%,-12.78%,28.06%,18.69%,5.81%,
Expenses,2211,2481,2537,2345,2947,3355,3430,3396
  └─ Material Cost %,52%,53%,58%,61%,63%,62%,60%,
    └─ Raw material cost,1418,1624,1740,1578,2108,2513,2459,
    └─ Change in inventory,-15,-24,-4,21,-17,-53,48,
  └─ Manufacturing Cost %,1%,1%,2%,2%,1%,1%,1%,
  └─ Employee Cost %,13%,11%,11%,14%,12%,10%,9%,
  └─ Other Cost %,15%,17%,14%,13%,13%,11%,11%,
Operating Profit,499,536,450,259,389,604,759,791
OPM %,18%,18%,15%,10%,12%,15%,18%,19%
Other Income,55,60,46,25,37,68,78,86
  └─ Exceptional items,-0,0,-0,2,2,0,1,
  └─ Other income normal,55,59,46,23,36,68,78,
Interest,2,1,4,2,4,7,3,5
Depreciation,44,44,59,62,55,58,53,53
Profit before tax,508,551,433,220,368,607,781,819
Tax %,34%,33%,26%,26%,26%,26%,25%,
Net Profit,333,366,322,162,272,451,583,611
  └─ Exceptional items AT,-0,0,-0,1,1,0,1,
  └─ Profit excl Excep,333,366,322,161,271,451,583,
  └─ Profit for PE,333,366,322,161,271,451,583,
  └─ Profit for EPS,333,366,322,162,272,451,583,
  └─ Profit Growth %,,10%,-12%,-50%,68%,66%,29%,
EPS in Rs,295.91,325.06,285.99,144.14,241.43,400.37,517.90,542.69
Dividend Payout %,0%,0%,0%,0%,0%,237%,132%,
