Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,131,271,288,315
  └─ Sales Growth %,,106.88%,6.31%,9.29%
Expenses,106,226,246,267
  └─ Material Cost %,73%,76%,78%,77%
    └─ Raw material cost,119,253,268,264
    └─ Change in inventory,-24,-48,-44,-22
  └─ Manufacturing Cost %,2%,2%,2%,0%
  └─ Employee Cost %,3%,2%,2%,2%
  └─ Other Cost %,4%,4%,4%,6%
Operating Profit,25,45,42,48
OPM %,19%,17%,15%,15%
Other Income,0,0,1,0
  └─ Exceptional items,0.00,-0.67,0.35,0.00
  └─ Other income normal,0.01,0.93,0.40,0.05
Interest,3,7,8,8
Depreciation,2,8,15,13
Profit before tax,19,31,20,27
Tax %,26%,27%,29%,28%
Net Profit,14,22,14,19
  └─ Minority share,0.00,0.00,-0.06,-0.59
  └─ Exceptional items AT,0.00,-0.49,0.24,0.00
  └─ Profit excl Excep,14.34,22.69,14.17,19.36
  └─ Profit for PE,14.34,22.69,14.11,18.77
  └─ Profit for EPS,14.34,22.20,14.35,18.77
  └─ Profit Growth %,,58.23%,-37.81%,33.02%
EPS in Rs,16.42,21.60,13.96,18.26
Dividend Payout %,34%,35%,61%,27%
