Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,9733,9008,7553,7541,10095,12206,12719,16069,27773,17966,16646,20794
  └─ Sales Growth %,9.29%,-7.45%,-16.15%,-0.16%,33.86%,20.92%,4.20%,26.34%,72.84%,-35.31%,-7.35%,24.92%
Expenses,8996,8354,6795,6730,8894,10281,10249,13804,25951,15919,14145,18115
  └─ Material Cost %,58%,65%,63%,61%,60%,56%,58%,60%,71%,61%,56%,64%
    └─ Raw material cost,5706,6110,4757,4586,6592,6681,6984,11930,17918,10757,9861,13744
    └─ Change in inventory,-53,-298,3,47,-511,209,354,-2327,1786,145,-545,-450
  └─ Manufacturing Cost %,21%,16%,15%,16%,19%,19%,15%,20%,18%,22%,23%,0%
  └─ Employee Cost %,3%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%
  └─ Other Cost %,10%,11%,10%,10%,8%,8%,7%,5%,3%,5%,5%,22%
Operating Profit,737,654,759,811,1200,1925,2470,2265,1822,2047,2501,2678
OPM %,8%,7%,10%,11%,12%,16%,19%,14%,7%,11%,15%,13%
Other Income,103,32,133,172,-2,192,470,374,222,326,329,256
  └─ Exceptional items,12,-86,28,14,-173,101,334,13,40,86,99,0
  └─ Other income normal,91,118,106,158,171,92,136,361,183,240,230,256
Interest,164,267,255,157,247,504,291,109,320,173,48,7
Depreciation,216,111,92,85,119,287,289,300,308,313,330,349
Profit before tax,459,308,544,740,832,1327,2360,2231,1416,1887,2452,2578
Tax %,39%,52%,34%,33%,30%,8%,26%,30%,27%,32%,33%,24%
Net Profit,280,147,359,495,585,1226,1748,1566,1034,1276,1649,1953
  └─ Minority share,15,74,3,3,5,1,-93,-0,0,0,0,0
  └─ Exceptional items AT,7,-40,18,9,-119,86,248,9,29,58,67,0
  └─ Profit excl Excep,272,187,341,486,704,1139,1499,1557,1005,1218,1583,1953
  └─ Profit for PE,287,261,344,490,709,1140,1420,1557,1005,1218,1583,1953
  └─ Profit for EPS,295,221,362,499,590,1226,1655,1566,1034,1276,1650,1953
  └─ Profit Growth %,21%,-9%,32%,42%,45%,61%,25%,10%,-35%,21%,30%,23%
EPS in Rs,7.08,5.31,8.70,11.99,14.18,29.46,39.76,37.62,24.85,31.84,41.17,48.76
Dividend Payout %,27%,36%,22%,16%,14%,14%,19%,20%,30%,24%,24%,12%
