Metric,Mar 2025,Mar 2026
Sales,574,451
  └─ Sales Growth %,,-21.36%
Expenses,487,434
  └─ Material Cost %,32.31%,41.20%
    └─ Raw material cost,226,155
    └─ Change in inventory,-41,31
  └─ Employee Cost %,14.06%,18.30%
  └─ Other Cost %,38.50%,36.80%
Operating Profit,87,17
OPM %,15%,4%
Other Income,18,-7
  └─ Exceptional items,-0.00,-20.82
  └─ Other income normal,17.74,13.78
Interest,6,6
Depreciation,14,14
Profit before tax,84,-10
Tax %,25%,33%
Net Profit,63,-14
  └─ Exceptional items AT,0,-17
  └─ Profit excl Excep,63,4
  └─ Profit for PE,63,4
  └─ Profit for EPS,63,-14
  └─ Profit Growth %,,-94%
EPS in Rs,12610.00,-1.58
Dividend Payout %,0%,-25%
