Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1050,1147,1416,1653,1527,1543,1678
  └─ Sales Growth %,,9.15%,23.49%,16.78%,-7.67%,1.09%,8.72%
Expenses,942,953,1216,1513,1439,1443,1538
  └─ Material Cost %,49%,46%,47%,54%,54%,55%,53%
    └─ Raw material cost,489,508,702,915,876,817,853
    └─ Change in inventory,24,16,-31,-29,-47,28,29
  └─ Manufacturing Cost %,13%,11%,12%,13%,14%,13%,0%
  └─ Employee Cost %,11%,11%,9%,8%,9%,9%,9%
  └─ Other Cost %,17%,16%,17%,17%,18%,16%,31%
Operating Profit,109,193,200,141,88,100,139
OPM %,10%,17%,14%,9%,6%,7%,8%
Other Income,7,9,10,5,11,7,66
  └─ Exceptional items,0,0,0,-5,0,-2,60
  └─ Other income normal,6,8,10,11,11,8,6
Interest,17,13,12,22,37,44,33
Depreciation,41,40,38,50,59,65,65
Profit before tax,57,149,161,74,3,-2,107
Tax %,14%,26%,26%,27%,72%,50%,20%
Net Profit,49,111,118,54,1,-3,85
  └─ Exceptional items AT,0,0,0,-4,0,-1,47
  └─ Profit excl Excep,49,111,118,57,1,-2,38
  └─ Profit for PE,49,111,118,57,1,-2,38
  └─ Profit for EPS,49,111,118,54,1,-3,85
  └─ Profit Growth %,,125%,7%,-51%,-98%,-317%,2140%
EPS in Rs,6.21,13.43,13.69,6.20,0.10,-0.35,9.88
Dividend Payout %,48%,22%,22%,32%,503%,-144%,12%
