Metric,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,6259,5514,8594,9833,12555,12868,13560,15010,17852,20404,19283,20943,
  └─ Sales Growth %,9.53%,,55.87%,14.41%,27.68%,2.50%,5.37%,10.69%,18.94%,14.29%,-5.49%,8.61%,-3.52%
Expenses,4916,4107,6081,7360,9758,9098,9468,11300,14893,15887,15349,16306,
  └─ Material Cost %,7.57%,,7.30%,7.83%,8.09%,7.70%,7.89%,6.92%,8.02%,9.50%,10.41%,10.31%,8.21%
    └─ Raw material cost,553,,681,769,1055,953,1020,1217,1508,2025,1959,2198,449
    └─ Change in inventory,-79,,-53,1,-40,37,50,-179,-75,-88,49,-38,3
  └─ Manufacturing Cost %,35.43%,,26.36%,28.16%,32.31%,28.79%,25.29%,33.31%,42.42%,38.60%,35.12%,23.97%,30.14%
  └─ Employee Cost %,7.30%,,6.29%,6.02%,6.15%,6.67%,6.44%,6.11%,5.50%,5.22%,5.96%,6.22%,6.74%
  └─ Other Cost %,28.23%,,30.81%,32.84%,31.18%,27.54%,30.21%,28.95%,27.48%,24.55%,28.10%,37.35%,29.39%
Operating Profit,1344,1407,2513,2473,2797,3771,4091,3710,2960,4517,3934,4638,
OPM %,21%,26%,29%,25%,22%,29%,30%,25%,17%,22%,20%,22%,
Other Income,102,673,362,389,69,263,426,544,459,598,589,661,
  └─ Exceptional items,-4,,12,38,-180,-7,16,17,12,-15,7,0,5
  └─ Other income normal,107,,349,351,249,270,410,527,447,613,582,661,668
Interest,121,76,129,135,248,291,251,216,263,258,205,212,
Depreciation,925,828,1215,899,1472,1808,1262,1146,1661,1897,3007,2794,
Profit before tax,401,1176,1531,1827,1146,1934,3004,2892,1495,2959,1312,2293,
Tax %,-6%,3%,13%,24%,11%,20%,24%,19%,15%,19%,14%,24%,
Net Profit,426,1143,1339,1384,1015,1544,2290,2337,1269,2396,1124,1749,
  └─ Minority share,0,,0,0,-9,-8,-4,-5,2,-0,-1,-5,0
  └─ Exceptional items AT,-3,,10,28,-146,-5,12,13,9,-12,5,0,4
  └─ Profit excl Excep,430,,1329,1356,1161,1549,2278,2324,1260,2408,1119,1749,1139
  └─ Profit for PE,430,,1329,1356,1151,1541,2274,2319,1262,2408,1118,1744,1139
  └─ Profit for EPS,426,,1339,1384,1006,1536,2286,2332,1271,2396,1123,1744,1143
  └─ Profit Growth %,-47%,,17%,2%,-15%,34%,48%,2%,-46%,91%,-54%,56%,41%
EPS in Rs,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,352.18,663.98,311.18,483.24,
Dividend Payout %,20%,7%,36%,13%,21%,26%,9%,14%,28%,16%,35%,31%,
