Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,443,661,637,688
  └─ Sales Growth %,,49.19%,-3.51%,7.89%
Expenses,425,629,611,662
  └─ Material Cost %,86%,87%,89%,89%
    └─ Raw material cost,375,583,567,607
    └─ Change in inventory,6,-6,-1,3
  └─ Manufacturing Cost %,6%,4%,0%,0%
  └─ Employee Cost %,3%,2%,3%,3%
  └─ Other Cost %,1%,1%,4%,5%
Operating Profit,17,32,27,26
OPM %,4%,5%,4%,4%
Other Income,9,8,13,9
  └─ Other income normal,9.05,8.41,13.23,9.42
Interest,11,17,13,11
Depreciation,9,12,9,9
Profit before tax,6,11,18,15
Tax %,34%,26%,20%,31%
Net Profit,4,8,14,10
  └─ Minority share,0.00,0.00,0.00,-0.03
  └─ Profit excl Excep,3.88,8.30,14.11,10.42
  └─ Profit for PE,3.88,8.30,14.11,10.39
  └─ Profit for EPS,3.88,8.30,14.11,10.39
  └─ Profit Growth %,,113.92%,70.00%,-26.36%
EPS in Rs,0.25,0.54,0.89,0.66
Dividend Payout %,30%,14%,6%,8%
