Metric,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1605,1733,1816,1699,1089,1905,2233,2092,2222,2572
  └─ Sales Growth %,,,4.79%,-6.43%,-35.90%,74.89%,17.19%,-6.29%,6.19%,15.79%
Expenses,1415,1488,1577,1532,1035,1572,1864,1806,1946,2240
  └─ Material Cost %,50.65%,44.65%,44.41%,48.40%,58.03%,47.05%,48.43%,47.53%,48.07%,47.06%
    └─ Raw material cost,883,862,804,851,460,1005,1119,1019,1057,1281
    └─ Change in inventory,-70,-88,3,-28,172,-109,-38,-25,10,-70
  └─ Manufacturing Cost %,17.25%,19.18%,18.38%,16.99%,17.29%,19.24%,19.03%,19.48%,19.22%,0.00%
  └─ Employee Cost %,9.18%,10.97%,10.93%,11.52%,11.35%,8.44%,8.07%,8.28%,8.28%,8.23%
  └─ Other Cost %,11.11%,11.06%,13.09%,13.24%,8.40%,7.79%,7.96%,11.01%,12.01%,31.78%
Operating Profit,189,245,240,167,54,333,368,286,276,333
OPM %,12%,14%,13%,10%,5%,17%,16%,14%,12%,13%
Other Income,15,20,23,34,41,34,40,36,75,83
  └─ Exceptional items,-2,-3,-4,1,2,5,5,-1,3,0
  └─ Other income normal,17,23,27,32,39,29,35,38,73,83
Interest,31,34,48,43,30,18,20,20,24,34
Depreciation,43,61,62,73,61,59,58,55,60,79
Profit before tax,130,170,152,85,3,291,331,247,267,303
Tax %,35%,35%,35%,19%,-3%,26%,24%,25%,26%,24%
Net Profit,85,111,99,69,4,216,251,185,197,231
  └─ Exceptional items AT,-2,-2,-2,1,-1,4,4,-1,2,0
  └─ Profit excl Excep,87,113,101,68,4,212,247,186,195,231
  └─ Profit for PE,87,113,101,68,4,212,247,186,195,231
  └─ Profit for EPS,85,111,99,69,4,216,251,185,197,231
  └─ Profit Growth %,,,-10%,-33%,-94%,5064%,17%,-25%,5%,18%
EPS in Rs,18.10,23.64,21.14,14.77,0.76,46.14,53.55,40.72,43.45,50.89
Dividend Payout %,12%,18%,21%,58%,602%,20%,21%,27%,28%,18%
