Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,34.33,58.22,41.36,72.35,80.56
  └─ Sales Growth %,,69.59%,-28.96%,74.93%,11.35%
Expenses,41.48,47.18,33.63,61.19,68.11
  └─ Material Cost %,64%,18%,57%,17%,13%
    └─ Raw material cost,16.21,5.30,23.72,12.31,10.70
    └─ Change in inventory,5.91,5.31,0.00,0.02,0.00
  └─ Manufacturing Cost %,51%,52%,7%,47%,0%
  └─ Employee Cost %,2%,1%,1%,1%,1%
  └─ Other Cost %,4%,9%,15%,20%,70%
Operating Profit,-7.15,11.04,7.73,11.16,12.45
OPM %,-20.83%,18.96%,18.69%,15.43%,15.45%
Other Income,0.00,0.00,0.12,0.58,0.67
  └─ Other income normal,0.00,0.00,0.12,0.58,0.67
Interest,5.89,1.70,0.99,0.28,0.21
Depreciation,2.27,1.92,1.64,1.34,1.20
Profit before tax,-15.31,7.42,5.22,10.12,11.71
Tax %,-21.49%,15.50%,25.10%,25.20%,25.62%
Net Profit,-12.02,6.28,3.90,7.56,8.71
  └─ Profit excl Excep,-12.02,6.28,3.90,7.56,8.71
  └─ Profit for PE,-12.02,6.28,3.90,7.56,8.71
  └─ Profit for EPS,-12.02,6.28,3.90,7.56,8.71
  └─ Profit Growth %,,152.25%,-37.90%,93.85%,15.21%
EPS in Rs,-0.48,0.25,0.16,0.30,0.35
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%
