Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2024,Mar 2025,Mar 2026,Mar 2023
Sales,11646,11706,10990,13285,14802,15658,13786,16152,22210,19959,21920,25962,
  └─ Sales Growth %,5.28%,0.52%,-6.12%,20.89%,11.41%,5.78%,-11.95%,17.16%,,-10.14%,9.83%,18.44%,37.51%
Expenses,10116,10123,9532,11370,12754,13245,11431,13154,20285,16897,18859,23004,
  └─ Material Cost %,16.92%,15.79%,14.62%,14.80%,15.76%,17.36%,18.23%,17.75%,,29.12%,37.62%,43.21%,24.56%
    └─ Raw material cost,1982,1848,1590,1981,2457,2618,2370,3041,,5777,8099,11332,5647
    └─ Change in inventory,-11,0,17,-15,-125,101,142,-174,,34,147,-113,-193
  └─ Manufacturing Cost %,29.66%,51.62%,27.43%,26.89%,26.41%,25.83%,23.96%,26.01%,,23.82%,21.44%,19.31%,30.51%
  └─ Employee Cost %,6.42%,6.60%,6.89%,6.18%,5.97%,5.53%,6.10%,5.18%,,3.69%,3.27%,2.87%,4.67%
  └─ Other Cost %,33.87%,12.47%,37.79%,37.71%,38.03%,35.86%,34.63%,32.50%,,28.03%,23.70%,23.22%,31.61%
Operating Profit,1529,1583,1458,1915,2048,2413,2355,2998,1925,3062,3061,2958,
OPM %,13%,14%,13%,14%,14%,15%,17%,19%,9%,15%,14%,11%,
Other Income,241,-90,115,137,153,332,50,164,196,735,1175,429,
  └─ Exceptional items,28,-186,-18,-3,1,27,-163,-55,,238,123,20,-67
  └─ Other income normal,213,96,133,140,152,306,213,218,,497,1052,409,263
Interest,83,65,79,99,88,86,57,55,77,155,108,112,
Depreciation,568,663,609,644,603,606,639,601,841,883,1001,1118,
Profit before tax,1120,766,885,1310,1510,2053,1709,2506,1203,2759,3127,2157,
Tax %,-3%,25%,26%,29%,-1%,33%,16%,26%,26%,15%,23%,1%,
Net Profit,1162,587,658,925,1521,1378,1430,1863,885,2337,2402,2137,
  └─ Profit from Associates,11,12,0,0,0,0,0,0,,0,0,0,0
  └─ Minority share,-0,0,-0,-0,-0,-0,-0,-0,,-0,-0,-0,-0
  └─ Exceptional items AT,21,-123,-13,-2,1,18,-111,-41,,180,95,14,-49
  └─ Profit excl Excep,1141,710,672,927,1520,1360,1541,1904,,2156,2307,2123,934
  └─ Profit for PE,1141,710,672,926,1520,1360,1541,1904,,2156,2307,2123,934
  └─ Profit for EPS,1162,588,658,924,1520,1377,1430,1863,,2336,2402,2137,885
  └─ Profit Growth %,7%,-38%,-5%,38%,64%,-11%,13%,24%,,131%,7%,-8%,-51%
EPS in Rs,61.88,31.30,35.06,49.23,80.97,73.35,76.16,99.21,47.13,124.42,127.92,113.80,
Dividend Payout %,55%,54%,49%,53%,17%,19%,18%,59%,20%,6%,6%,7%,
