Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,886,874,1321,1364,1392,1408,1627
  └─ Sales Growth %,,-1.37%,51.24%,3.22%,2.07%,1.10%,15.57%
Expenses,799,752,1152,1174,1221,1233,1387
  └─ Material Cost %,52%,47%,56%,54%,56%,52%,52%
    └─ Raw material cost,448,434,799,734,779,729,876
    └─ Change in inventory,10,-19,-59,2,-2,10,-27
  └─ Manufacturing Cost %,14%,14%,14%,14%,14%,14%,0%
  └─ Employee Cost %,17%,17%,11%,11%,12%,13%,13%
  └─ Other Cost %,8%,8%,7%,6%,6%,8%,20%
Operating Profit,86,122,169,190,171,175,240
OPM %,10%,14%,13%,14%,12%,12%,15%
Other Income,13,3,17,29,30,10,39
  └─ Exceptional items,-0.42,-0.13,-0.04,0.56,3.10,-25.86,0.00
  └─ Other income normal,13.65,2.97,17.52,28.76,26.58,35.76,38.51
Interest,33,30,25,16,11,9,16
Depreciation,35,34,35,36,39,41,47
Profit before tax,32,61,127,167,151,136,215
Tax %,31%,25%,27%,26%,26%,34%,28%
Net Profit,22,45,92,123,111,89,155
  └─ Exceptional items AT,-0,-0,-0,0,2,-17,0
  └─ Profit excl Excep,22,46,92,123,109,106,155
  └─ Profit for PE,22,46,92,123,109,106,155
  └─ Profit for EPS,22,45,92,123,111,89,155
  └─ Profit Growth %,,106%,102%,34%,-11%,-3%,46%
EPS in Rs,4.38,9.09,11.90,13.54,12.24,9.81,17.05
Dividend Payout %,0%,0%,0%,7%,8%,10%,9%
