Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,28,232,501,545,1376
  └─ Sales Growth %,,736%,116%,9%,153%
Expenses,26,211,432,438,1229
  └─ Material Cost %,66%,78%,76%,63%,86%
    └─ Raw material cost,18,182,382,342,1246
    └─ Change in inventory,0,0,0,0,-64
  └─ Manufacturing Cost %,17%,11%,9%,10%,0%
  └─ Employee Cost %,2%,0%,0%,2%,2%
  └─ Other Cost %,7%,1%,1%,6%,2%
Operating Profit,2,21,69,107,147
OPM %,8%,9%,14%,20%,11%
Other Income,5,4,7,6,40
  └─ Exceptional items,-0.33,0.00,0.02,0.16,0.00
  └─ Other income normal,5.10,4.00,6.70,6.16,39.91
Interest,4,6,7,6,21
Depreciation,0,0,0,0,5
Profit before tax,2,19,68,107,161
Tax %,9%,23%,24%,28%,25%
Net Profit,2,15,52,77,120
  └─ Exceptional items AT,-0,0,0,0,0
  └─ Profit excl Excep,2,15,52,77,120
  └─ Profit for PE,2,15,52,77,120
  └─ Profit for EPS,2,15,52,77,120
  └─ Profit Growth %,,503%,248%,49%,57%
EPS in Rs,68.75,463.75,1615.31,10.39,13.90
Dividend Payout %,-0%,-0%,-0%,-0%,-0%
