Metric,Mar 2006,Mar 2007,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales,579,688,1157,1287,1099,985,1095
  └─ Sales Growth %,,18.98%,,11.25%,-14.64%,-10.37%,11.23%
Expenses,530,621,1078,1206,1028,943,1045
  └─ Material Cost %,68%,67%,72%,72%,70%,69%,69%
    └─ Raw material cost,394,469,836,924,761,682,756
    └─ Change in inventory,-2,-7,-8,-1,5,-4,1
  └─ Manufacturing Cost %,11%,10%,8%,8%,8%,9%,9%
  └─ Employee Cost %,10%,10%,10%,10%,12%,13%,13%
  └─ Other Cost %,4%,4%,3%,4%,4%,4%,4%
Operating Profit,49,67,79,81,71,42,50
OPM %,8%,10%,7%,6%,6%,4%,5%
Other Income,9,10,16,24,9,7,14
  └─ Exceptional items,1.14,0.27,3.46,5.93,0.90,-0.85,7.90
  └─ Other income normal,7.45,9.35,12.47,18.01,8.44,8.29,6.14
Interest,11,19,34,32,27,27,28
Depreciation,16,21,29,30,31,37,40
Profit before tax,30,36,31,44,22,-15,-4
Tax %,34%,35%,32%,36%,36%,-34%,-108%
Net Profit,20,24,21,28,14,-10,0
  └─ Exceptional items AT,0.75,0.18,2.35,3.77,0.57,-0.85,6.35
  └─ Profit excl Excep,19.22,23.48,18.94,24.36,13.40,-8.80,-6.02
  └─ Profit for PE,19.22,23.48,18.94,24.36,13.40,-8.80,-6.02
  └─ Profit for EPS,19.97,23.66,21.29,28.13,13.97,-9.65,0.33
  └─ Profit Growth %,,22.16%,,28.62%,-44.99%,-165.67%,31.59%
EPS in Rs,9.34,11.06,9.95,13.15,6.53,-4.51,0.15
Dividend Payout %,21%,20%,20%,15%,15%,0%,0%
