Metric,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales,192,331,359,386,438,470,544,614,630,630,689
  └─ Sales Growth %,,,8.54%,7.42%,13.64%,7.30%,15.63%,12.93%,2.52%,-0.02%,9.41%
Expenses,189,302,333,373,444,468,527,590,606,590,637
  └─ Material Cost %,57%,41%,65%,64%,67%,64%,63%,62%,63%,60%,59%
    └─ Raw material cost,109,147,231,274,298,305,358,381,411,390,445
    └─ Change in inventory,-0,-10,1,-29,-4,-3,-15,1,-11,-10,-37
  └─ Manufacturing Cost %,14%,25%,2%,3%,3%,5%,5%,5%,5%,6%,6%
  └─ Employee Cost %,10%,9%,10%,11%,12%,12%,11%,11%,11%,13%,14%
  └─ Other Cost %,19%,16%,16%,20%,19%,19%,17%,18%,17%,15%,14%
Operating Profit,2,29,26,13,-5,3,17,25,24,39,51
OPM %,1%,9%,7%,3%,-1%,1%,3%,4%,4%,6%,7%
Other Income,8,-2,-0,1,0,6,8,5,3,2,1
  └─ Exceptional items,-0.18,-1.86,-0.54,0.59,0.00,0.01,0.00,0.09,-0.49,-0.84,0.05
  └─ Other income normal,7.79,0.17,0.08,0.63,0.25,5.81,7.67,5.28,3.08,2.80,0.72
Interest,7,6,7,7,7,9,10,11,12,10,12
Depreciation,5,5,7,7,8,9,11,12,12,17,18
Profit before tax,-2,16,12,0,-20,-9,4,7,2,15,23
Tax %,-11%,27%,27%,167%,-26%,-15%,-15%,28%,33%,34%,33%
Net Profit,-2,12,9,-0,-15,-8,5,5,2,10,15
  └─ Profit from Associates,0.00,0.05,0.02,0.00,-0.05,0.00,0.10,-0.02,0.00,0.00,0.00
  └─ Exceptional items AT,-0.18,-1.37,-0.39,-0.41,0.00,0.01,0.00,0.06,-0.32,-0.55,0.04
  └─ Profit excl Excep,-1.48,13.00,8.96,0.31,-15.11,-7.79,5.03,5.18,1.83,10.36,15.16
  └─ Profit for PE,-1.48,13.00,8.96,0.31,-15.11,-7.79,5.03,5.18,1.83,10.36,15.16
  └─ Profit for EPS,-1.66,11.63,8.57,-0.10,-15.11,-7.78,5.03,5.24,1.51,9.81,15.20
  └─ Profit Growth %,,,-31.08%,-96.54%,-4974.19%,48.44%,164.57%,2.98%,-64.67%,466.12%,46.33%
EPS in Rs,-0.23,1.30,0.95,-0.01,-1.48,-0.78,0.50,0.52,0.15,0.98,1.52
Dividend Payout %,-2%,26%,18%,0%,0%,0%,0%,0%,0%,0%,0%
