Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,494,829,786,862,1094,1075,1042,1180,1288
  └─ Sales Growth %,,67.61%,-5.19%,9.78%,26.83%,-1.67%,-3.13%,13.29%,9.11%
Expenses,457,771,730,796,1015,1010,1001,1128,1232
  └─ Material Cost %,70%,73%,70%,72%,75%,74%,74%,74%,75%
    └─ Raw material cost,349,609,559,629,821,799,762,881,978
    └─ Change in inventory,-4,-0,-6,-4,-5,-2,8,-6,-9
  └─ Manufacturing Cost %,8%,6%,6%,6%,6%,5%,6%,5%,0%
  └─ Employee Cost %,12%,11%,13%,13%,11%,12%,14%,14%,13%
  └─ Other Cost %,3%,2%,3%,1%,1%,2%,2%,2%,7%
Operating Profit,38,57,55,67,79,65,41,52,56
OPM %,8%,7%,7%,8%,7%,6%,4%,4%,4%
Other Income,1,1,1,2,1,2,9,18,7
  └─ Exceptional items,0.43,-0.06,0.23,0.61,0.13,0.38,0.21,8.67,-0.91
  └─ Other income normal,0.18,0.89,0.77,1.61,0.78,1.89,8.68,9.67,7.56
Interest,9,13,12,10,13,13,8,8,8
Depreciation,12,17,20,12,14,19,22,25,24
Profit before tax,17,28,24,47,53,36,20,39,30
Tax %,24%,19%,24%,27%,26%,25%,30%,24%,24%
Net Profit,15,23,19,35,39,27,14,29,23
  └─ Profit from Associates,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.32,-0.05,0.17,0.44,0.09,0.28,0.15,6.61,-0.70
  └─ Profit excl Excep,15.00,22.69,18.41,34.42,39.09,26.52,13.72,22.71,23.29
  └─ Profit for PE,15.00,22.69,18.41,34.42,39.09,26.52,13.72,22.71,23.29
  └─ Profit for EPS,15.32,22.64,18.58,34.86,39.18,26.80,13.87,29.32,22.59
  └─ Profit Growth %,,51.27%,-18.86%,86.96%,13.57%,-32.16%,-48.27%,65.52%,2.55%
EPS in Rs,24.37,36.01,26.18,49.13,9.20,5.40,2.79,5.90,4.54
Dividend Payout %,-0%,-0%,-0%,-0%,10%,18%,35%,-0%,-0%
