Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1913,2228,2425,2645,3061,3511,2844,3149,3238
  └─ Sales Growth %,,16.50%,8.81%,9.08%,15.74%,14.69%,-19.00%,10.71%,2.85%
Expenses,1693,1938,2090,2157,2459,2844,2369,2516,2567
  └─ Material Cost %,57%,58%,61%,56%,56%,59%,58%,53%,58%
    └─ Raw material cost,1142,1387,1339,1604,1897,1923,1548,1726,1886
    └─ Change in inventory,-47,-98,129,-118,-171,146,89,-49,-8
  └─ Manufacturing Cost %,12%,12%,9%,10%,9%,9%,9%,10%,0%
  └─ Employee Cost %,8%,7%,7%,7%,7%,6%,8%,8%,8%
  └─ Other Cost %,12%,10%,9%,8%,8%,7%,9%,8%,13%
Operating Profit,220,291,335,488,602,667,475,633,671
OPM %,11%,13%,14%,18%,20%,19%,17%,20%,21%
Other Income,30,1,-20,19,27,45,96,120,131
  └─ Exceptional items,0,-7,-29,7,7,23,23,16,-16
  └─ Other income normal,30,7,9,11,20,22,72,104,147
Interest,5,4,7,7,8,6,6,7,8
Depreciation,24,28,41,47,45,52,62,66,66
Profit before tax,221,260,267,453,576,654,503,680,728
Tax %,34%,36%,23%,24%,26%,23%,26%,26%,25%
Net Profit,145,166,205,345,424,502,370,506,543
  └─ Minority share,0,0,0,-0,0,0,-0,-1,-0
  └─ Exceptional items AT,0,-4,-21,6,5,17,17,12,-12
  └─ Profit excl Excep,145,170,225,340,418,485,352,494,555
  └─ Profit for PE,145,170,225,340,418,485,352,494,555
  └─ Profit for EPS,145,166,205,345,424,502,370,506,543
  └─ Profit Growth %,,17%,32%,51%,23%,16%,-27%,40%,12%
EPS in Rs,,,4.10,6.92,8.49,10.06,7.40,10.13,10.88
Dividend Payout %,0%,38%,18%,12%,12%,12%,80%,12%,0%
