Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,72,58,66,59,38,46,47,44,40,24,83,75,82
  └─ Sales Growth %,9.27%,-20.42%,14.05%,-10.98%,-35.12%,21.87%,0.89%,-4.77%,-10.84%,-38.96%,241.06%,-9.60%,
Expenses,78,61,69,64,42,40,41,38,31,18,74,65,67
  └─ Material Cost %,1%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
    └─ Raw material cost,1.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Manufacturing Cost %,41%,27%,20%,16%,7%,5%,6%,5%,4%,6%,28%,25%,
  └─ Employee Cost %,58%,65%,79%,86%,68%,60%,65%,62%,59%,62%,53%,51%,
  └─ Other Cost %,7%,9%,6%,8%,37%,21%,17%,19%,14%,8%,9%,11%,
Operating Profit,-5,-3,-3,-6,-4,6,5,7,9,6,8,10,15
OPM %,-7%,-5%,-5%,-10%,-11%,13%,11%,15%,23%,24%,10%,13%,18%
Other Income,12,11,11,11,17,5,5,6,10,3,-2,9,13
  └─ Exceptional items,0.00,0.00,0.86,0.00,5.78,4.58,4.63,4.93,9.33,0.55,-7.59,8.11,
  └─ Other income normal,12.34,11.42,9.78,11.16,11.01,0.29,0.33,0.66,0.65,2.00,5.47,0.75,
Interest,0,0,0,0,0,0,0,0,0,0,2,2,2
Depreciation,3,3,5,3,3,3,2,3,2,2,2,2,2
Profit before tax,4,5,2,1,10,8,8,9,16,7,3,14,24
Tax %,17%,44%,29%,18%,13%,31%,27%,26%,14%,34%,97%,25%,
Net Profit,3,3,2,1,8,6,6,7,14,4,0,11,20
  └─ Exceptional items AT,0,0,1,0,5,3,3,2,7,1,1,6,
  └─ Profit excl Excep,3,3,1,1,3,3,2,4,7,4,-1,5,
  └─ Profit for PE,3,3,1,1,3,3,2,4,7,4,-1,5,
  └─ Profit for EPS,3,3,2,1,8,6,6,7,14,4,0,11,
  └─ Profit Growth %,201%,-12%,-69%,23%,192%,-20%,-5%,82%,56%,-45%,-131%,520%,
EPS in Rs,1.97,1.73,1.05,0.66,4.93,3.41,3.35,4.02,8.23,2.58,0.05,7.36,13.84
Dividend Payout %,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,
