Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1.02,8.06,23.99,55.56,65.32,45.57,35.88,22.61,14.05
  └─ Sales Growth %,,690.20%,197.64%,131.60%,17.57%,-30.24%,-21.26%,-36.98%,-37.86%
Expenses,0.95,7.61,21.47,52.08,59.29,49.74,36.56,24.50,17.44
  └─ Material Cost %,39%,74%,3%,1%,0%,1%,9%,3%,5%
    └─ Raw material cost,0.43,6.15,0.62,0.15,0.16,0.47,3.14,0.67,0.65
    └─ Change in inventory,-0.03,-0.22,0.00,0.27,0.00,0.04,0.00,0.00,0.00
  └─ Manufacturing Cost %,0%,0%,0%,1%,11%,3%,1%,1%,0%
  └─ Employee Cost %,25%,14%,82%,85%,73%,90%,77%,95%,107%
  └─ Other Cost %,29%,7%,5%,6%,7%,14%,15%,10%,13%
Operating Profit,0.07,0.45,2.52,3.48,6.03,-4.17,-0.68,-1.89,-3.39
OPM %,6.86%,5.58%,10.50%,6.26%,9.23%,-9.15%,-1.90%,-8.36%,-24.13%
Other Income,0.11,0.00,0.27,0.65,7.67,0.92,0.16,-4.02,0.22
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-6.45,-0.26,-5.34,0.00
  └─ Other income normal,0.11,0.00,0.27,0.65,7.67,7.37,0.42,1.32,0.22
Interest,0.00,0.01,0.77,1.17,0.48,0.48,0.24,0.00,0.00
Depreciation,0.00,0.00,0.56,0.82,0.87,0.43,0.45,0.48,0.52
Profit before tax,0.18,0.44,1.46,2.14,12.35,-4.16,-1.21,-6.39,-3.69
Tax %,0.00%,9.09%,25.34%,34.58%,7.85%,-35.58%,38.02%,-20.50%,-16.26%
Net Profit,0.18,0.41,1.10,1.40,11.38,-2.68,-1.68,-5.08,-3.08
  └─ Exceptional items AT,0,0,0,0,0,-6,-0,-5,0
  └─ Profit excl Excep,0,0,1,1,11,4,-2,0,-3
  └─ Profit for PE,0,0,1,1,11,4,-2,0,-3
  └─ Profit for EPS,0,0,1,1,11,-3,-2,-5,-3
  └─ Profit Growth %,,128%,168%,27%,713%,-67%,-140%,117%,-1285%
EPS in Rs,0.22,0.51,1.09,1.39,11.27,-2.65,-1.66,-5.03,-3.05
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
