Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2024,Mar 2025,Mar 2026,Mar 2023
Sales,9955,9437,20094,23609,26041,27104,24516,28965,38937,33160,35336,40656,
  └─ Sales Growth %,8.68%,-5.21%,112.93%,17.49%,10.30%,4.08%,-9.55%,18.15%,,-14.84%,6.56%,15.05%,34.43%
Expenses,8022,7895,16913,19751,22030,22507,19511,22755,33815,26760,29366,34079,
  └─ Material Cost %,8.61%,8.81%,11.60%,11.76%,12.43%,13.59%,12.74%,10.23%,,16.66%,18.47%,16.58%,13.13%
    └─ Raw material cost,840,806,2344,2854,3436,3540,2868,3493,,5478,6472,7121,5231
    └─ Change in inventory,16,25,-13,-78,-198,144,256,-530,,48,56,-378,-120
  └─ Manufacturing Cost %,32.08%,30.61%,28.11%,28.53%,28.61%,27.94%,25.57%,30.04%,,31.70%,30.86%,33.02%,36.71%
  └─ Employee Cost %,5.89%,6.29%,6.82%,6.40%,5.85%,5.80%,6.28%,5.28%,,4.08%,3.97%,3.94%,4.77%
  └─ Other Cost %,34.01%,37.94%,37.64%,36.98%,37.70%,35.71%,34.99%,33.02%,,28.26%,29.80%,30.28%,32.24%
Operating Profit,1934,1542,3181,3858,4011,4597,5006,6210,5122,6400,5971,6577,
OPM %,19%,16%,16%,16%,15%,17%,20%,21%,13%,19%,17%,16%,
Other Income,419,353,441,335,232,601,288,252,447,1401,2646,516,
  └─ Exceptional items,87,148,286,34,-150,3,-163,-120,,344,42,-336,-302
  └─ Other income normal,332,205,154,301,383,598,451,372,,1057,2604,852,749
Interest,66,92,153,206,170,170,140,146,195,276,216,224,
Depreciation,513,630,1461,1219,1154,1153,1162,1152,1645,1628,2297,3570,
Profit before tax,1774,1173,2008,2768,2919,3875,3992,5164,3729,5896,6104,3299,
Tax %,16%,31%,29%,30%,-2%,28%,22%,28%,19%,20%,13%,-71%,
Net Profit,1487,808,1434,1945,2973,2783,3107,3711,3024,4735,5294,5637,
  └─ Minority share,-0,0,-329,-429,-795,-688,-741,-931,,-1161,-991,-909,-441
  └─ Exceptional items AT,64,102,192,24,-102,2,-114,-86,,261,31,-320,-240
  └─ Profit excl Excep,1423,706,1243,1921,3075,2781,3221,3797,,4474,5263,5958,3264
  └─ Profit for PE,1423,706,958,1498,2252,2093,2452,2845,,3377,4278,4997,2788
  └─ Profit for EPS,1486,808,1105,1516,2177,2095,2365,2780,,3573,4303,4728,2583
  └─ Profit Growth %,19%,-50%,36%,56%,50%,-7%,17%,16%,,21%,27%,17%,-2%
EPS in Rs,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.00,13.01,16.26,17.47,19.13,
Dividend Payout %,46%,54%,50%,47%,14%,14%,151%,45%,19%,12%,11%,10%,
