Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,26,60,179,318,532,655,680,612,528
  └─ Sales Growth %,,128.75%,200.84%,77.61%,67.11%,23.19%,3.77%,-10.04%,-13.71%
Interest,10,9,17,24,51,84,105,110,84
Expenses,11,31,127,265,476,633,562,485,487
  └─ Material Cost %,0%,0%,0%,2%,0%,0%,0%,0%,0%
    └─ Raw material cost,0.00,0.00,0.23,7.36,1.28,2.65,0.00,0.00,0.41
  └─ Manufacturing Cost %,1%,2%,35%,37%,39%,56%,48%,41%,0%
  └─ Employee Cost %,14%,33%,21%,18%,18%,28%,23%,24%,25%
  └─ Other Cost %,27%,18%,14%,26%,33%,12%,12%,14%,67%
Financing Profit,5,19,36,29,5,-62,13,17,-43
Financing Margin %,19%,32%,20%,9%,1%,-9%,2%,3%,-8%
Other Income,0,0,0,-0,-2,1,18,6,110
  └─ Exceptional items,0,0,0,-0,-2,-0,11,-1,105
  └─ Other income normal,0,0,0,0,0,1,8,7,5
Depreciation,0,8,12,15,21,25,30,32,31
Profit before tax,4,11,24,15,-18,-85,1,-9,36
Tax %,37%,42%,43%,59%,18%,2%,599%,15%,14%
Net Profit,3,7,14,6,-21,-87,-6,-10,31
  └─ Minority share,0,0,3,4,18,46,18,12,8
  └─ Exceptional items AT,0,0,0,-0,-1,-0,3,-0,97
  └─ Profit excl Excep,3,7,14,6,-19,-87,-9,-10,-67
  └─ Profit for PE,3,7,17,10,-3,-41,9,2,-59
  └─ Profit for EPS,3,7,17,10,-3,-42,12,2,39
  └─ Profit Growth %,,133%,165%,-44%,-127%,-1501%,121%,-79%,-3265%
EPS in Rs,0.89,0.17,0.44,0.25,-0.07,-1.07,0.30,0.04,0.99
Dividend Payout %,13%,48%,5%,8%,-28%,-2%,7%,50%,0%
