Metric,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2016
Sales,13329,20179,13412,14954,16062,16237,16162,19317,23008,25169,28152,31149,
  └─ Sales Growth %,8.83%,,-33.54%,11.50%,7.41%,1.09%,-0.46%,19.52%,19.11%,9.39%,11.86%,10.64%,51.39%
Expenses,11384,15743,10763,12665,13744,13855,13208,17256,20604,20896,24058,26248,
  └─ Material Cost %,63%,,56%,61%,60%,59%,58%,65%,67%,60%,64%,63%,56%
    └─ Raw material cost,8442,,7723,9031,10323,9600,8968,13437,15786,15265,18516,18918,11289
    └─ Change in inventory,14,,-228,78,-614,17,354,-856,-347,-184,-590,605,-14
  └─ Manufacturing Cost %,9%,,9%,9%,10%,10%,9%,10%,9%,9%,9%,0%,9%
  └─ Employee Cost %,6%,,7%,7%,7%,8%,9%,8%,7%,7%,7%,7%,6%
  └─ Other Cost %,7%,,8%,8%,8%,8%,7%,7%,6%,7%,6%,15%,7%
Operating Profit,1945,4437,2649,2288,2317,2382,2954,2061,2404,4272,4095,4901,
OPM %,15%,22%,20%,15%,14%,15%,18%,11%,10%,17%,15%,16%,
Other Income,63,317,327,330,416,335,205,315,245,306,406,441,
  └─ Exceptional items,11,,-3,4,3,14,-4,158,97,-10,1,-63,68
  └─ Other income normal,52,,331,326,413,322,209,157,148,316,405,505,249
Interest,232,361,257,259,273,301,282,263,326,361,368,366,
Depreciation,424,737,611,707,808,982,1141,1205,1253,1430,1654,1754,
Profit before tax,1353,3656,2109,1653,1652,1434,1737,908,1070,2787,2479,3222,
Tax %,33%,31%,30%,32%,32%,1%,26%,26%,28%,25%,25%,25%,
Net Profit,908,2509,1486,1132,1131,1423,1277,669,769,2081,1869,2426,
  └─ Minority share,-0,,0,0,-0,-0,-0,-0,-0,-0,-0,0,0
  └─ Exceptional items AT,7,,-2,3,2,10,-3,116,69,-8,1,-48,46
  └─ Profit excl Excep,901,,1489,1129,1128,1413,1280,553,700,2089,1868,2474,2463
  └─ Profit for PE,901,,1489,1129,1128,1413,1280,553,700,2089,1868,2474,2463
  └─ Profit for EPS,908,,1486,1132,1131,1423,1277,669,769,2081,1869,2426,2509
  └─ Profit Growth %,11%,,-40%,-24%,-0%,25%,-9%,-57%,27%,198%,-11%,32%,173%
EPS in Rs,2141.71,5916.93,3504.33,2668.20,2665.82,3354.22,3011.15,1577.96,1813.04,4907.26,4407.54,5720.45,
Dividend Payout %,2%,2%,2%,2%,2%,3%,5%,10%,10%,4%,5%,4%,
