Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,4717,5049,5033,5855,5986,6658,7896,9204
  └─ Sales Growth %,,7.02%,-0.30%,16.33%,2.23%,11.23%,18.59%,16.56%
Expenses,3968,4340,3817,4525,4804,5429,6427,7339
  └─ Material Cost %,37.28%,40.20%,37.45%,38.14%,37.76%,37.18%,39.85%,40.20%
    └─ Raw material cost,1891,2028,2189,2379,2194,2666,3410,4090
    └─ Change in inventory,-132,2,-304,-145,67,-190,-264,-390
  └─ Manufacturing Cost %,8.02%,6.02%,7.65%,7.21%,7.15%,7.02%,7.16%,0.00%
  └─ Employee Cost %,21.48%,21.95%,17.97%,17.29%,18.67%,19.43%,18.32%,16.87%
  └─ Other Cost %,17.34%,17.81%,12.76%,14.64%,16.67%,17.90%,16.06%,22.67%
Operating Profit,749,708,1216,1330,1182,1230,1469,1865
OPM %,16%,14%,24%,23%,20%,18%,19%,20%
Other Income,72,-25,-159,63,39,47,62,-19
  └─ Exceptional items,-21.02,-107.64,-192.75,-0.41,-6.36,-7.62,-4.90,-31.35
  └─ Other income normal,92.70,82.31,33.45,63.47,45.79,54.67,67.31,12.66
Interest,223,257,155,176,214,237,176,144
Depreciation,267,321,250,245,260,312,384,415
Profit before tax,331,105,652,973,747,727,971,1287
Tax %,37%,4%,36%,28%,25%,27%,27%,27%
Net Profit,209,101,419,703,562,528,707,941
  └─ Minority share,-14,-17,0,-40,-30,-29,-26,-17
  └─ Exceptional items AT,-8,-75,-3,-0,-5,-5,-3,-22
  └─ Profit excl Excep,217,176,421,703,567,533,711,963
  └─ Profit for PE,202,146,421,662,537,503,685,946
  └─ Profit for EPS,195,84,419,662,532,498,681,924
  └─ Profit Growth %,,-28%,188%,57%,-19%,-6%,36%,38%
EPS in Rs,10.79,4.62,23.15,36.62,29.42,27.50,35.96,48.76
Dividend Payout %,32%,54%,4%,8%,7%,7%,8%,0%
