Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,113.48,133.52,121.92,120.28,53.17,0.95,4.76,6.86,1.78,0.54,6.71,8.94,12.21
  └─ Sales Growth %,289.83%,17.66%,-8.69%,-1.35%,-55.79%,-98.21%,401.05%,44.12%,-74.05%,-69.66%,1142.59%,33.23%,
Expenses,101.16,109.35,115.07,120.38,66.58,2.52,10.71,12.65,5.10,1.90,7.44,9.81,12.92
  └─ Material Cost %,23%,21%,22%,25%,26%,0%,80%,99%,67%,13%,79%,82%,
    └─ Raw material cost,25.07,29.03,26.57,30.76,13.44,0.00,2.91,5.57,0.59,0.01,5.55,7.37,
    └─ Change in inventory,0.48,-0.39,0.47,-1.06,0.24,0.00,0.91,1.25,0.60,0.06,-0.22,-0.03,
  └─ Manufacturing Cost %,53%,48%,58%,59%,62%,27%,8%,5%,24%,41%,3%,2%,
  └─ Employee Cost %,9%,9%,10%,10%,12%,134%,57%,29%,80%,154%,11%,8%,
  └─ Other Cost %,4%,4%,4%,6%,25%,104%,79%,52%,115%,144%,17%,17%,
Operating Profit,12.32,24.17,6.85,-0.10,-13.41,-1.57,-5.95,-5.79,-3.32,-1.36,-0.73,-0.87,-0.71
OPM %,10.86%,18.10%,5.62%,-0.08%,-25.22%,-165.26%,-125.00%,-84.40%,-186.52%,-251.85%,-10.88%,-9.73%,-5.81%
Other Income,8.09,2.72,0.54,2.70,57.07,2.52,7.38,1.58,2.64,1.38,0.65,0.93,0.97
  └─ Exceptional items,4.45,-0.01,-1.13,1.08,51.54,-0.47,5.87,-0.08,0.99,-0.04,-0.48,-0.41,
  └─ Other income normal,3.64,2.73,1.67,1.62,5.53,2.99,1.51,1.66,1.65,1.42,1.13,1.34,
Interest,11.81,16.22,19.66,22.36,19.93,0.01,0.15,0.17,0.01,-0.00,-0.00,0.01,0.08
Depreciation,8.07,9.19,9.44,8.55,4.23,0.31,0.32,0.30,0.28,0.26,0.26,0.25,0.26
Profit before tax,0.53,1.48,-21.71,-28.31,19.50,0.63,0.96,-4.68,-0.97,-0.24,-0.34,-0.20,-0.08
Tax %,-47.17%,42.57%,-16.63%,0.81%,0.26%,-0.00%,185.42%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
Net Profit,0.78,0.84,-18.09,-28.54,19.46,0.63,-0.82,-4.69,-0.97,-0.24,-0.34,-0.20,-0.08
  └─ Exceptional items AT,4,0,-1,1,52,-0,4,-0,1,-0,-0,-0,
  └─ Profit excl Excep,-4,1,-17,-30,-32,1,-5,-5,-2,-0,0,0,
  └─ Profit for PE,-4,1,-17,-30,-32,1,-5,-5,-2,-0,0,0,
  └─ Profit for EPS,1,1,-18,-29,19,1,-1,-5,-1,-0,-0,-0,
  └─ Profit Growth %,-443%,123%,-2119%,-75%,-8%,103%,-599%,8%,57%,90%,170%,50%,
EPS in Rs,0.27,0.29,-6.17,-9.73,6.64,0.21,-0.28,-1.60,-0.33,-0.08,-0.12,-0.07,-0.02
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
