Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,181,211,278,318,318,329
  └─ Sales Growth %,,16.58%,32.09%,14.34%,0.02%,
Expenses,151,158,198,223,231,216
  └─ Material Cost %,18.13%,18.15%,19.79%,13.90%,15.33%,
    └─ Raw material cost,32.41,35.25,54.81,44.13,48.69,
    └─ Change in inventory,0.36,2.98,0.27,0.11,0.10,
  └─ Manufacturing Cost %,17.54%,15.92%,13.07%,13.75%,13.48%,
  └─ Employee Cost %,34.04%,28.88%,27.33%,28.62%,31.19%,
  └─ Other Cost %,13.71%,11.90%,10.96%,13.89%,12.73%,
Operating Profit,30,53,80,95,87,113
OPM %,17%,25%,29%,30%,27%,34%
Other Income,3,1,0,3,4,4
  └─ Exceptional items,0.16,-0.02,-1.18,0.24,0.57,
  └─ Other income normal,2.86,0.83,1.41,3.20,3.44,
Interest,4,2,2,3,2,2
Depreciation,21,23,23,31,34,34
Profit before tax,8,29,56,65,54,81
Tax %,17%,25%,26%,26%,25%,
Net Profit,7,21,41,48,41,61
  └─ Exceptional items AT,0.10,-0.01,-0.86,0.18,0.40,
  └─ Profit excl Excep,6.75,21.42,42.19,47.99,40.61,
  └─ Profit for PE,6.75,21.42,42.19,47.99,40.61,
  └─ Profit for EPS,6.85,21.41,41.33,48.17,41.01,
  └─ Profit Growth %,,217.33%,96.97%,13.75%,-15.38%,
EPS in Rs,1.55,4.84,9.35,10.87,9.26,13.84
Dividend Payout %,0%,21%,11%,9%,11%,
