Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales,5.76,4.83,5.71,5.63,5.85,5.52
  └─ Sales Growth %,,-16.15%,18.22%,-1.40%,3.91%,
Expenses,5.10,4.19,4.37,4.99,5.36,5.02
  └─ Material Cost %,39%,37%,29%,26%,14%,
    └─ Raw material cost,2.17,1.54,1.74,1.48,0.69,
    └─ Change in inventory,0.06,0.26,-0.08,-0.04,0.13,
  └─ Manufacturing Cost %,33%,36%,36%,49%,50%,
  └─ Employee Cost %,13%,10%,6%,11%,20%,
  └─ Other Cost %,4%,4%,5%,4%,7%,
Operating Profit,0.66,0.64,1.34,0.64,0.49,0.50
OPM %,11.46%,13.25%,23.47%,11.37%,8.38%,9.06%
Other Income,0.00,0.05,0.19,0.14,0.14,0.07
  └─ Exceptional items,-0.05,0.00,0.10,0.02,0.06,
  └─ Other income normal,0.05,0.05,0.09,0.12,0.08,
Interest,0.41,0.31,0.25,0.12,0.03,0.00
Depreciation,0.42,1.76,0.98,0.75,0.46,0.43
Profit before tax,-0.17,-1.38,0.30,-0.09,0.14,0.14
Tax %,-23.53%,-26.81%,-40.00%,-122.22%,-50.00%,
Net Profit,-0.13,-1.00,0.43,0.01,0.20,0.25
  └─ Exceptional items AT,-0,0,0,0,0,
  └─ Profit excl Excep,-0,-1,0,-0,0,
  └─ Profit for PE,-0,-1,0,-0,0,
  └─ Profit for EPS,-0,-1,0,0,0,
  └─ Profit Growth %,,-1150%,135%,-103%,1600%,
EPS in Rs,-0.08,-0.61,0.26,0.01,0.12,0.15
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,
