Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,1578,1329,1279,1325,1342,1085,1107,1343,1634,1696,1800,1958,
  └─ Sales Growth %,,-15.77%,-3.78%,3.62%,1.24%,-19.11%,2.00%,21.27%,21.71%,3.76%,6.17%,8.79%,36.41%
Expenses,1390,1152,1064,1097,1115,953,979,1177,1423,1453,1507,1656,
  └─ Material Cost %,,34.11%,30.84%,29.50%,30.29%,31.53%,33.27%,36.10%,39.78%,37.13%,36.64%,37.35%,34.08%
    └─ Raw material cost,,451,385,381,435,321,351,476,652,631,662,756,572
    └─ Change in inventory,,2,9,10,-29,22,18,8,-2,-1,-2,-24,-34
  └─ Manufacturing Cost %,,18.31%,20.65%,20.27%,20.37%,19.37%,19.20%,19.27%,18.66%,18.45%,17.49%,0.00%,19.63%
  └─ Employee Cost %,,21.82%,21.86%,22.10%,22.81%,27.02%,26.88%,24.23%,21.08%,22.16%,21.97%,21.41%,20.62%
  └─ Other Cost %,,12.41%,9.83%,10.91%,9.61%,9.92%,9.12%,8.04%,7.55%,7.94%,7.59%,25.78%,13.72%
Operating Profit,189,178,215,228,227,132,128,166,211,243,294,303,
OPM %,12%,13%,17%,17%,17%,12%,12%,12%,13%,14%,16%,15%,
Other Income,18,18,11,11,14,11,-33,7,18,28,36,33,
  └─ Exceptional items,,-2,-1,-1,-1,-2,-44,-2,-1,-4,-7,-18,-1
  └─ Other income normal,,20,12,12,14,13,11,9,19,32,43,50,19
Interest,33,26,17,7,6,4,3,5,5,6,7,7,
Depreciation,93,78,79,77,86,93,84,87,84,85,87,88,
Profit before tax,79,91,130,155,149,47,8,81,141,181,235,241,
Tax %,36%,40%,36%,38%,36%,17%,37%,27%,24%,26%,28%,26%,
Net Profit,51,55,84,96,96,39,5,59,107,133,170,178,
  └─ Minority share,,-7,0,-8,-8,-6,-4,-5,-7,-6,-8,-7,-11
  └─ Exceptional items AT,,-1,-0,-0,-0,-1,55,-2,-1,-3,-5,-12,-1
  └─ Profit excl Excep,,56,84,97,96,40,-50,60,108,136,175,190,51
  └─ Profit for PE,,49,84,89,88,33,-5,56,102,129,167,182,40
  └─ Profit for EPS,,48,84,88,87,32,1,54,101,127,162,171,40
  └─ Profit Growth %,,22%,73%,5%,-1%,-62%,-116%,1129%,83%,27%,29%,9%,42%
EPS in Rs,7.10,8.56,15.05,15.88,15.71,5.84,0.10,9.71,18.13,22.81,29.13,30.68,
Dividend Payout %,123%,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
