Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,174,234,293,332,294,341
  └─ Sales Growth %,,35.07%,24.83%,13.30%,-11.23%,15.79%
Expenses,153,200,237,260,265,297
  └─ Manufacturing Cost %,29%,35%,34%,34%,34%,0%
  └─ Employee Cost %,46%,38%,37%,36%,44%,35%
  └─ Other Cost %,14%,12%,10%,9%,11%,52%
Operating Profit,20,35,56,71,30,44
OPM %,12%,15%,19%,21%,10%,13%
Other Income,10,11,7,4,12,8
  └─ Exceptional items,0.00,0.20,0.13,0.73,0.06,-3.07
  └─ Other income normal,9.67,10.36,7.21,3.15,11.81,10.98
Interest,10,7,6,6,2,4
Depreciation,15,14,15,15,15,19
Profit before tax,5,25,43,54,25,29
Tax %,34%,22%,27%,26%,25%,24%
Net Profit,3,19,31,40,19,22
  └─ Minority share,-0.15,-0.08,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,0.16,0.10,0.54,0.05,-2.29
  └─ Profit excl Excep,3.08,19.09,31.16,39.18,18.61,24.40
  └─ Profit for PE,2.93,19.01,31.16,39.18,18.61,24.40
  └─ Profit for EPS,2.93,19.17,31.26,39.72,18.66,22.11
  └─ Profit Growth %,,548.83%,63.91%,25.74%,-52.50%,31.11%
EPS in Rs,,,70.32,7.87,3.70,4.38
Dividend Payout %,16%,9%,6%,25%,41%,46%
