Metric,Mar 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,8.07,5.86,6.78,7.01,4.32,0.18,86.76,204.67,32.46,15.79
  └─ Sales Growth %,,-27%,16%,3%,-38%,,48100%,136%,-84%,
Expenses,9.93,7.36,6.73,6.32,3.85,0.23,83.98,197.09,36.09,25.03
  └─ Material Cost %,0%,0%,0%,0%,0%,0%,83%,86%,34%,
    └─ Raw material cost,0.00,0.00,0.00,0.00,0.00,0.00,71.77,176.78,11.13,
  └─ Manufacturing Cost %,6%,9%,5%,6%,6%,0%,0%,0%,1%,
  └─ Employee Cost %,58%,62%,66%,49%,41%,22%,8%,2%,6%,
  └─ Other Cost %,58%,55%,29%,35%,42%,106%,6%,8%,70%,
Operating Profit,-1.86,-1.50,0.05,0.69,0.47,-0.05,2.78,7.58,-3.63,-9.24
OPM %,-23.05%,-25.60%,0.74%,9.84%,10.88%,-27.78%,3.20%,3.70%,-11.18%,-58.52%
Other Income,0.02,0.00,0.27,0.44,0.23,0.33,5.59,8.49,4.64,4.43
  └─ Exceptional items,0.01,-0.01,0.00,0.00,0.00,0.27,1.33,3.38,0.14,
  └─ Other income normal,0.01,0.01,0.27,0.44,0.23,0.06,4.26,5.11,4.50,
Interest,0.14,0.11,0.10,0.07,0.01,0.01,0.01,0.10,0.09,0.08
Depreciation,0.83,0.75,0.77,0.73,0.30,0.00,0.24,0.39,0.38,0.36
Profit before tax,-2.81,-2.36,-0.55,0.33,0.39,0.27,8.12,15.58,0.54,-5.25
Tax %,-4.27%,-9.32%,-10.91%,45.45%,61.54%,0.00%,25.00%,11.42%,0.00%,
Net Profit,-2.69,-2.14,-0.49,0.18,0.15,0.27,6.08,13.80,0.54,-6.10
  └─ Minority share,0,0,0,0,0,0,0,-0,0,
  └─ Exceptional items AT,0,-0,0,0,0,0,1,3,0,
  └─ Profit excl Excep,-3,-2,-0,0,0,0,5,11,0,
  └─ Profit for PE,-3,-2,-0,0,0,0,5,11,1,
  └─ Profit for EPS,-3,-2,-0,0,0,0,6,14,1,
  └─ Profit Growth %,,21%,77%,137%,-17%,,,117%,-95%,
EPS in Rs,-0.28,-0.22,-0.05,0.02,0.02,0.01,0.14,0.33,0.02,-0.15
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
