Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,1200,1945,1853,2115,1819
  └─ Sales Growth %,,,62.11%,-4.76%,14.17%,-13.98%
Expenses,0,993,1603,1467,1651,1450
  └─ Material Cost %,,53.14%,60.13%,55.10%,53.33%,45.88%
    └─ Raw material cost,0,687,1295,1041,1064,886
    └─ Change in inventory,0,-49,-125,-20,64,-51
  └─ Manufacturing Cost %,,20.17%,8.67%,10.85%,9.92%,0.00%
  └─ Employee Cost %,,7.10%,6.67%,7.48%,7.67%,9.51%
  └─ Other Cost %,,2.34%,6.94%,5.74%,7.13%,24.31%
Operating Profit,0,207,342,386,464,369
OPM %,,17%,18%,21%,22%,20%
Other Income,0,3,2,5,10,15
  └─ Exceptional items,0.00,0.02,0.08,0.57,0.01,-2.79
  └─ Other income normal,0.00,2.49,2.24,4.33,10.11,17.74
Interest,0,12,21,17,27,47
Depreciation,0,42,63,73,87,104
Profit before tax,0,155,261,300,361,233
Tax %,,21%,26%,28%,24%,25%
Net Profit,0,122,193,217,272,175
  └─ Exceptional items AT,0,0,0,0,0,-2
  └─ Profit excl Excep,0,122,193,216,272,177
  └─ Profit for PE,0,122,193,216,272,177
  └─ Profit for EPS,0,122,193,217,272,175
  └─ Profit Growth %,,,58%,12%,26%,-35%
EPS in Rs,,,21.35,23.93,30.05,19.27
Dividend Payout %,,0%,9%,13%,17%,18%
