Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.55,0.29,5.17,0.00,10.00,5.25,8.75,19.00,0.00,17.86,0.00,24.44,41.44
  └─ Sales Growth %,489.39%,-97.25%,1682.76%,-100.00%,,-47.50%,66.67%,117.14%,-100.00%,,-100.00%,,
Expenses,10.55,2.03,5.47,1.42,11.05,5.43,8.66,16.56,2.01,16.55,2.14,22.89,37.04
  └─ Material Cost %,78%,69%,77%,,76%,75%,81%,78%,,83%,,84%,
    └─ Raw material cost,9.40,3.78,10.13,11.61,16.87,7.79,11.40,14.82,12.45,14.82,0.00,20.60,
    └─ Change in inventory,-1.21,-3.58,-6.15,-11.61,-9.31,-3.86,-4.28,0.00,-12.45,0.00,0.00,0.00,
  └─ Manufacturing Cost %,0%,17%,1%,,0%,0%,0%,0%,,0%,,0%,
  └─ Employee Cost %,6%,245%,15%,,8%,15%,8%,4%,,6%,,5%,
  └─ Other Cost %,16%,369%,14%,,26%,14%,9%,5%,,4%,,4%,
Operating Profit,0.00,-1.74,-0.30,-1.42,-1.05,-0.18,0.09,2.44,-2.01,1.31,-2.14,1.55,4.40
OPM %,0.00%,-600.00%,-5.80%,,-10.50%,-3.43%,1.03%,12.84%,,7.33%,,6.34%,10.62%
Other Income,3.12,2.17,1.26,1.41,18.88,1.24,1.23,0.86,6.15,1.95,0.74,1.61,1.77
  └─ Exceptional items,0.61,0.02,0.48,1.23,18.26,0.51,0.48,0.34,5.16,1.41,0.55,1.06,
  └─ Other income normal,2.51,2.15,0.78,0.18,0.62,0.73,0.75,0.52,0.99,0.54,0.19,0.55,
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.10,0.18,0.18,0.14,0.08,0.07,0.08,0.10,0.12,0.13,0.13,0.13,0.12
Profit before tax,3.02,0.25,0.78,-0.15,17.75,0.99,1.24,3.20,4.02,3.13,-1.53,3.03,6.05
Tax %,25.17%,16.00%,20.51%,113.33%,22.48%,36.36%,29.03%,24.06%,19.40%,11.82%,0.65%,22.77%,
Net Profit,2.26,0.22,0.62,-0.32,13.76,0.64,0.88,2.43,3.24,2.78,-1.54,2.34,4.87
  └─ Exceptional items AT,0,0,0,1,14,0,0,0,4,1,1,1,
  └─ Profit excl Excep,2,0,0,-1,-0,0,1,2,-1,2,-2,2,
  └─ Profit for PE,2,0,0,-1,-0,0,1,2,-1,2,-2,2,
  └─ Profit for EPS,2,0,1,-0,14,1,1,2,3,3,-2,2,
  └─ Profit Growth %,2471%,-89%,20%,-667%,65%,162%,87%,288%,-153%,234%,-237%,173%,
EPS in Rs,229.21,22.31,62.88,-32.45,1395.54,64.91,89.25,246.45,328.60,281.95,-156.19,237.32,493.91
Dividend Payout %,21.90%,225.00%,79.84%,-154.69%,3.60%,0.00%,56.25%,20.37%,15.28%,17.81%,-32.14%,21.15%,
