Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,525,446,764,798,844,1103,900,1039,1188,1156,1576,1131
  └─ Sales Growth %,7.82%,-8.58%,71.58%,4.43%,5.68%,30.70%,-18.39%,15.47%,14.30%,-2.65%,36.30%,-28.22%
Expenses,393,309,565,579,711,889,759,877,1048,985,1264,1007
  └─ Material Cost %,46%,45%,48%,48%,54%,53%,55%,55%,56%,52%,51%,52%
    └─ Raw material cost,253,204,383,387,469,590,498,611,743,584,855,595
    └─ Change in inventory,-13,-3,-18,-2,-16,-7,-1,-40,-76,16,-54,-3
  └─ Manufacturing Cost %,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,1%,0%
  └─ Employee Cost %,9%,10%,9%,9%,12%,10%,11%,11%,10%,11%,8%,12%
  └─ Other Cost %,18%,13%,15%,14%,16%,16%,16%,17%,20%,21%,21%,25%
Operating Profit,132,136,199,220,133,213,140,162,140,171,312,124
OPM %,25%,31%,26%,28%,16%,19%,16%,16%,12%,15%,20%,11%
Other Income,34,33,43,54,15,51,24,40,50,48,1,-147
  └─ Exceptional items,16,14,3,7,-23,-3,-7,-0,-0,2,-44,-208
  └─ Other income normal,18,20,40,47,38,54,31,40,50,46,45,61
Interest,1,0,1,2,8,13,12,10,12,12,11,16
Depreciation,4,4,7,7,10,21,21,24,26,26,22,20
Profit before tax,161,165,235,265,130,230,131,168,152,181,280,-59
Tax %,28%,28%,29%,27%,30%,21%,18%,28%,24%,18%,24%,139%
Net Profit,116,118,166,193,92,182,107,121,116,148,212,-141
  └─ Minority share,0,0,0,0,1,-0,-0,-1,1,0,0,0
  └─ Exceptional items AT,12,10,2,5,-16,-3,-5,-0,-0,1,-32,-117
  └─ Profit excl Excep,104,108,164,187,108,184,113,121,116,147,244,-24
  └─ Profit for PE,104,108,164,187,108,184,112,120,116,147,244,-24
  └─ Profit for EPS,116,118,166,193,92,181,107,120,116,148,212,-141
  └─ Profit Growth %,-1%,3%,51%,14%,-42%,70%,-39%,7%,-3%,26%,66%,-110%
EPS in Rs,16.56,16.91,23.77,27.52,13.19,25.94,15.34,17.20,16.64,21.48,30.94,-20.53
Dividend Payout %,42%,74%,19%,16%,34%,89%,33%,52%,30%,61%,42%,-45%
