Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales,951,1185,1378,1505,1615
  └─ Sales Growth %,,24.64%,16.26%,9.24%,7.33%
Expenses,859,938,1037,1114,1312
  └─ Material Cost %,31.18%,29.19%,28.19%,28.66%,33.21%
    └─ Raw material cost,290,350,387,429,564
    └─ Change in inventory,6,-4,1,2,-28
  └─ Manufacturing Cost %,26.05%,20.82%,19.56%,21.85%,23.40%
  └─ Employee Cost %,6.73%,6.35%,5.58%,5.91%,6.63%
  └─ Other Cost %,26.42%,22.77%,21.98%,17.61%,17.98%
Operating Profit,91,247,340,391,303
OPM %,10%,21%,25%,26%,19%
Other Income,32,16,24,-23,18
  └─ Exceptional items,6.53,-6.41,-0.19,-49.23,-0.45
  └─ Other income normal,25.59,22.14,24.67,26.33,18.91
Interest,59,48,32,21,35
Depreciation,33,33,34,35,55
Profit before tax,31,182,299,312,232
Tax %,28%,35%,36%,35%,32%
Net Profit,23,119,191,202,158
  └─ Exceptional items AT,5,-3,-0,-32,-0
  └─ Profit excl Excep,18,123,191,234,158
  └─ Profit for PE,18,123,191,234,158
  └─ Profit for EPS,23,119,191,202,158
  └─ Profit Growth %,,597%,56%,23%,-33%
EPS in Rs,1.14,5.99,9.63,10.13,7.89
Dividend Payout %,0%,12%,12%,14%,18%
