Metric,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,805,1061,907,903,1227,1366,1140,964,1170
  └─ Sales Growth %,,,-14.46%,-0.45%,35.91%,11.29%,-16.58%,-15.43%,21.45%
Expenses,715,923,811,783,959,1068,938,819,923
  └─ Material Cost %,39.45%,35.11%,36.24%,39.07%,32.72%,35.69%,37.13%,36.83%,33.29%
    └─ Raw material cost,309,428,332,338,501,497,397,312,425
    └─ Change in inventory,8,-56,-4,15,-100,-9,26,43,-35
  └─ Manufacturing Cost %,13.07%,19.74%,18.30%,17.00%,17.34%,16.54%,17.71%,17.08%,0.00%
  └─ Employee Cost %,19.67%,20.93%,23.35%,20.55%,17.91%,17.57%,21.59%,23.86%,21.86%
  └─ Other Cost %,16.65%,11.22%,11.50%,10.07%,10.19%,8.40%,5.91%,7.17%,23.73%
Operating Profit,90,138,96,120,268,298,201,145,247
OPM %,11%,13%,11%,13%,22%,22%,18%,15%,21%
Other Income,2,2,32,44,3,15,9,22,14
  └─ Exceptional items,0.23,0.02,6.27,-0.82,-0.13,-0.86,0.11,0.44,-3.42
  └─ Other income normal,1.40,1.89,25.35,44.55,3.62,16.22,9.33,21.22,17.61
Interest,15,18,18,8,6,6,6,8,10
Depreciation,17,30,35,37,37,39,42,44,45
Profit before tax,60,92,74,119,229,268,163,114,206
Tax %,28%,24%,16%,23%,26%,24%,24%,23%,23%
Net Profit,44,70,63,91,169,205,125,88,158
  └─ Exceptional items AT,0,0,5,-1,-0,-1,0,0,-3
  └─ Profit excl Excep,43,70,57,92,169,206,125,88,161
  └─ Profit for PE,43,70,57,92,169,206,125,88,161
  └─ Profit for EPS,44,70,63,91,169,205,125,88,158
  └─ Profit Growth %,,,-17%,60%,84%,22%,-39%,-30%,84%
EPS in Rs,19.30,15.42,13.88,20.21,37.40,45.40,27.63,19.50,35.07
Dividend Payout %,11%,8%,0%,16%,24%,31%,51%,73%,0%
