Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,120,115,124,161,132,99,170,190,160,197,254,344
  └─ Sales Growth %,,-4.20%,7.86%,29.61%,-18.37%,-24.97%,71.60%,12.08%,-15.94%,23.39%,28.68%,35.72%
Expenses,110,104,111,138,117,92,149,168,146,170,207,283
  └─ Material Cost %,68%,65%,60%,59%,60%,56%,62%,63%,62%,60%,55%,56%
    └─ Raw material cost,75,78,80,109,65,72,93,118,96,153,168,236
    └─ Change in inventory,8,-3,-5,-13,14,-17,12,1,2,-36,-27,-44
  └─ Manufacturing Cost %,8%,8%,7%,8%,7%,8%,6%,7%,8%,7%,7%,0%
  └─ Employee Cost %,7%,9%,9%,9%,10%,13%,9%,9%,12%,10%,9%,9%
  └─ Other Cost %,8%,8%,12%,9%,12%,15%,11%,9%,10%,9%,10%,18%
Operating Profit,11,11,14,23,14,7,21,23,14,27,47,61
OPM %,9%,10%,11%,14%,11%,7%,12%,12%,9%,14%,18%,18%
Other Income,0,0,1,1,1,0,1,2,3,4,5,12
  └─ Exceptional items,0.04,-0.16,-0.01,-0.11,0.01,0.04,0.24,0.36,0.97,0.46,0.35,0.00
  └─ Other income normal,0.30,0.40,1.00,1.07,1.19,0.29,0.47,1.59,1.79,3.48,5.03,12.42
Interest,0,0,1,1,2,2,1,0,0,1,1,2
Depreciation,3,3,3,3,4,4,4,4,3,4,4,7
Profit before tax,8,8,11,20,9,2,17,21,13,26,47,65
Tax %,32%,34%,36%,33%,15%,8%,29%,27%,23%,25%,25%,25%
Net Profit,5,5,7,14,8,2,12,15,11,21,38,49
  └─ Profit from Associates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,1.30,2.82,0.00
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.15
  └─ Exceptional items AT,0.02,-0.10,-0.01,-0.07,0.00,0.03,0.17,0.25,0.75,0.34,0.26,0.00
  └─ Profit excl Excep,5.32,5.58,7.11,13.76,8.04,1.50,11.88,14.85,10.74,20.67,37.86,48.89
  └─ Profit for PE,5.32,5.58,7.11,13.76,8.04,1.50,11.88,14.85,10.74,20.67,37.86,47.74
  └─ Profit for EPS,5.34,5.48,7.10,13.69,8.04,1.53,12.05,15.10,11.49,21.01,38.12,47.74
  └─ Profit Growth %,,4.89%,27.42%,93.53%,-41.57%,-81.34%,692.00%,25.00%,-27.68%,92.46%,83.16%,26.10%
EPS in Rs,0.34,0.35,0.46,0.83,0.49,0.09,0.73,0.92,0.70,1.28,2.32,2.67
Dividend Payout %,27%,26%,20%,11%,8%,0%,0%,10%,19%,0%,6%,6%
