Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,758,801,916,565,1041,1355,1368,1345
  └─ Sales Growth %,,5.63%,14.34%,-38.31%,84.28%,30.18%,0.93%,
Expenses,526,527,522,322,545,684,709,694
  └─ Material Cost %,30.66%,26.30%,25.84%,24.12%,23.95%,24.57%,26.58%,
    └─ Raw material cost,232,211,261,126,286,372,335,
    └─ Change in inventory,0,-0,-25,10,-37,-39,29,
  └─ Manufacturing Cost %,9.33%,8.92%,9.05%,9.36%,9.44%,8.27%,6.38%,
  └─ Employee Cost %,6.46%,5.90%,5.82%,6.75%,5.58%,4.27%,4.24%,
  └─ Other Cost %,22.99%,24.72%,16.26%,16.73%,13.40%,13.38%,14.68%,
Operating Profit,232,274,394,243,496,671,658,652
OPM %,31%,34%,43%,43%,48%,50%,48%,48%
Other Income,11,19,32,60,50,40,70,80
  └─ Exceptional items,5,8,6,5,7,9,18,
  └─ Other income normal,5,11,26,55,43,31,51,
Interest,6,4,26,26,28,31,44,52
Depreciation,10,9,89,96,94,104,135,147
Profit before tax,226,280,312,182,423,576,548,533
Tax %,35%,35%,24%,27%,26%,25%,24%,
Net Profit,148,182,237,133,315,429,414,403
  └─ Exceptional items AT,4,6,5,4,5,7,14,
  └─ Profit excl Excep,144,177,232,129,310,422,400,
  └─ Profit for PE,144,177,232,129,310,422,400,
  └─ Profit for EPS,148,182,237,133,315,429,414,
  └─ Profit Growth %,,22%,31%,-44%,140%,36%,-5%,
EPS in Rs,11.82,14.55,18.90,10.72,12.98,17.67,17.05,16.58
Dividend Payout %,0%,0%,21%,0%,39%,51%,50%,
