Metric,Mar 2024,Mar 2025,Mar 2026
Sales,684,734,922
  └─ Sales Growth %,,7.30%,25.49%
Expenses,622,686,878
  └─ Material Cost %,84%,86%,89%
    └─ Raw material cost,573,627,827
    └─ Change in inventory,1,5,-6
  └─ Manufacturing Cost %,3%,3%,0%
  └─ Employee Cost %,3%,3%,2%
  └─ Other Cost %,1%,2%,4%
Operating Profit,62,48,43
OPM %,9%,7%,5%
Other Income,4,8,8
  └─ Exceptional items,0.04,0.98,0.00
  └─ Other income normal,4.26,6.78,7.97
Interest,1,1,1
Depreciation,5,5,6
Profit before tax,61,50,45
Tax %,25%,26%,25%
Net Profit,45,37,34
  └─ Profit from Associates,0.00,-0.03,0.06
  └─ Exceptional items AT,0.03,0.73,0.00
  └─ Profit excl Excep,45.26,36.26,33.90
  └─ Profit for PE,45.26,36.26,33.90
  └─ Profit for EPS,45.29,36.99,33.90
  └─ Profit Growth %,,-19.89%,-6.51%
EPS in Rs,9.04,7.38,6.77
Dividend Payout %,3%,4%,44%
