Metric,Mar 2015,Dec 20159m,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM,Dec 2015
Sales,5570,4001,5320,6428,8032,7908,6050,6765,8753,9280,8964,9406,9746,
  └─ Sales Growth %,114.99%,,32.97%,20.83%,24.95%,-1.54%,-23.49%,11.82%,29.39%,6.02%,-3.41%,4.94%,,54.42%
Expenses,5128,3638,4789,5622,7031,6940,5548,5823,7581,7856,7613,8044,8317,
  └─ Material Cost %,46%,,40%,44%,45%,47%,46%,49%,55%,53%,52%,51%,,43%
    └─ Raw material cost,2542,,2153,2892,3774,3659,2679,3519,4861,4853,4647,4724,,1778
    └─ Change in inventory,19,,-8,-76,-142,90,127,-185,-85,57,23,45,,-51
  └─ Manufacturing Cost %,18%,,22%,19%,20%,18%,19%,17%,18%,17%,17%,18%,,16%
  └─ Employee Cost %,21%,,21%,18%,17%,17%,21%,14%,10%,11%,11%,12%,,20%
  └─ Other Cost %,6%,,7%,6%,6%,6%,5%,6%,4%,4%,4%,5%,,11%
Operating Profit,442,363,531,806,1001,968,502,942,1172,1424,1351,1362,1429,
OPM %,8%,9%,10%,13%,12%,12%,8%,14%,13%,15%,15%,14%,15%,
Other Income,-183,-49,22,20,39,28,55,32,-749,409,150,109,102,
  └─ Exceptional items,-223,,-3,-7,3,-5,18,-13,-808,327,9,5,,-76
  └─ Other income normal,40,,25,27,36,33,36,46,59,82,141,103,,27
Interest,121,50,59,51,50,52,55,35,23,107,78,27,23,
Depreciation,238,163,232,268,287,316,306,273,296,322,331,358,366,
Profit before tax,-100,101,262,507,702,628,195,666,104,1403,1092,1087,1142,
Tax %,-22%,24%,35%,29%,29%,44%,45%,41%,231%,20%,24%,24%,,
Net Profit,-78,77,169,358,498,354,106,393,-136,1125,828,828,871,
  └─ Minority share,0,,0,0,0,0,0,0,0,0,0,0,,0
  └─ Exceptional items AT,-186,,-2,-5,2,-3,10,-6,-51,-1,2,0,,-51
  └─ Profit excl Excep,108,,171,363,496,356,96,399,-85,1126,825,828,,128
  └─ Profit for PE,108,,171,363,496,356,96,399,-85,1126,825,828,,128
  └─ Profit for EPS,-78,,169,358,498,354,106,393,-136,1125,828,828,,77
  └─ Profit Growth %,243%,,33%,113%,37%,-28%,-73%,314%,-121%,1428%,-27%,0%,,270%
EPS in Rs,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,-3.59,29.66,21.81,21.83,22.97,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,24%,-70%,17%,32%,32%,,
