Metric,Mar 2015,Mar 2016,TTM
Sales,352,293,361
  └─ Sales Growth %,,-16.71%,
Expenses,309,252,325
  └─ Material Cost %,68%,63%,
    └─ Raw material cost,238,186,
    └─ Change in inventory,1,-0,
  └─ Manufacturing Cost %,8%,8%,
  └─ Employee Cost %,4%,6%,
  └─ Other Cost %,8%,8%,
Operating Profit,42,41,36
OPM %,12%,14%,10%
Other Income,6,7,11
  └─ Exceptional items,4.43,4.87,
  └─ Other income normal,1.14,2.31,
Interest,4,3,3
Depreciation,9,9,11
Profit before tax,35,36,33
Tax %,29%,-7%,
Net Profit,25,39,38
  └─ Exceptional items AT,3,4,
  └─ Profit excl Excep,22,35,
  └─ Profit for PE,22,35,
  └─ Profit for EPS,25,39,
  └─ Profit Growth %,,62%,
EPS in Rs,4.76,7.44,7.24
Dividend Payout %,30%,24%,
