Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1756,2169,3568,2504,2221,3543,4079,4113,3897,4241
  └─ Sales Growth %,,23.53%,,-29.82%,-11.29%,59.54%,15.12%,0.84%,-5.26%,8.83%
Expenses,1680,2042,3496,2444,2081,3296,3762,3833,3721,4007
  └─ Material Cost %,87%,85%,86%,85%,85%,85%,86%,86%,87%,89%
    └─ Raw material cost,1497,1856,3045,2092,1840,2998,3475,3552,3412,3774
    └─ Change in inventory,26,-6,7,43,52,-2,16,-3,-14,-19
  └─ Manufacturing Cost %,6%,7%,8%,8%,5%,4%,4%,4%,5%,0%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
  └─ Other Cost %,2%,1%,4%,3%,3%,3%,2%,2%,2%,5%
Operating Profit,76,127,72,60,140,247,317,280,176,234
OPM %,4%,6%,2%,2%,6%,7%,8%,7%,5%,6%
Other Income,10,13,11,13,29,26,24,10,13,14
  └─ Exceptional items,-0.40,-0.02,1.18,0.00,0.21,5.84,-0.07,-0.19,-0.03,0.00
  └─ Other income normal,10.53,12.82,9.71,13.06,28.49,20.17,23.99,9.81,12.99,13.53
Interest,47,31,48,50,37,33,52,59,49,38
Depreciation,8,9,8,11,11,15,17,20,26,30
Profit before tax,31,100,27,13,120,225,272,210,114,181
Tax %,16%,26%,30%,24%,17%,27%,21%,21%,27%,24%
Net Profit,26,74,19,10,100,164,214,165,83,137
  └─ Minority share,0,0,0,0,0,-16,-23,-25,-3,-2
  └─ Exceptional items AT,-0,-0,1,0,0,4,-0,-0,-0,0
  └─ Profit excl Excep,26,74,18,10,100,159,214,165,84,137
  └─ Profit for PE,26,74,18,10,100,144,191,141,80,135
  └─ Profit for EPS,26,74,19,10,100,147,191,141,80,135
  └─ Profit Growth %,,183%,,-45%,916%,43%,33%,-26%,-43%,69%
EPS in Rs,162.19,46.43,11.71,6.16,62.70,18.42,23.86,14.36,8.18,13.83
Dividend Payout %,1778%,0%,85%,73%,0%,0%,2%,3%,6%,5%
