Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,867,1035,758,673,1033,1147,1047,972,1110
  └─ Sales Growth %,,19.30%,-26.74%,-11.18%,53.37%,11.07%,-8.73%,-7.16%,14.20%
Expenses,832,988,707,630,981,1097,993,903,1040
  └─ Material Cost %,67%,52%,65%,71%,79%,80%,79%,78%,80%
    └─ Raw material cost,580,541,494,472,808,923,846,748,904
    └─ Change in inventory,-3,-3,-1,7,6,0,-21,7,-12
  └─ Manufacturing Cost %,27%,41%,25%,19%,12%,12%,13%,12%,0%
  └─ Employee Cost %,1%,1%,2%,2%,1%,1%,2%,2%,2%
  └─ Other Cost %,1%,1%,1%,1%,2%,1%,1%,1%,11%
Operating Profit,35,46,51,44,52,50,54,69,70
OPM %,4%,4%,7%,6%,5%,4%,5%,7%,6%
Other Income,3,3,2,2,3,2,4,5,6
  └─ Exceptional items,0.00,0.80,0.05,0.13,0.03,0.14,0.89,0.02,0.00
  └─ Other income normal,3.47,2.69,2.15,1.66,2.67,2.22,3.08,4.88,5.70
Interest,13,18,22,20,19,23,28,33,35
Depreciation,7,8,12,13,12,12,12,16,17
Profit before tax,18,23,20,13,24,18,18,25,24
Tax %,35%,35%,27%,28%,28%,26%,25%,26%,28%
Net Profit,12,15,15,9,17,13,14,18,17
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26
  └─ Exceptional items AT,0.00,0.52,0.04,0.10,0.02,0.10,0.67,0.01,0.00
  └─ Profit excl Excep,11.65,14.56,14.66,9.19,17.13,13.38,13.08,18.41,17.10
  └─ Profit for PE,11.65,14.56,14.66,9.19,17.13,13.38,13.08,18.41,16.84
  └─ Profit for EPS,11.65,15.08,14.70,9.29,17.15,13.48,13.75,18.42,16.84
  └─ Profit Growth %,,24.98%,0.69%,-37.31%,86.40%,-21.89%,-2.24%,40.75%,-8.53%
EPS in Rs,3.94,5.09,4.97,3.14,5.79,4.55,4.65,6.22,5.69
Dividend Payout %,13%,12%,0%,16%,0%,0%,0%,0%,0%
