Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales,9.23,10.79,15.66,18.34,16.37,15.60,15.07
  └─ Sales Growth %,,16.90%,45.13%,17.11%,-10.74%,-4.70%,
Expenses,8.07,8.73,13.40,14.79,13.35,12.81,12.16
  └─ Material Cost %,45.94%,39.11%,55.87%,47.93%,46.24%,43.53%,
    └─ Raw material cost,5.09,5.81,6.96,8.99,7.86,9.02,
    └─ Change in inventory,-0.85,-1.59,1.79,-0.20,-0.29,-2.23,
  └─ Manufacturing Cost %,11.70%,13.72%,9.26%,9.60%,9.96%,9.74%,
  └─ Employee Cost %,17.23%,16.22%,12.20%,13.25%,17.29%,19.81%,
  └─ Other Cost %,12.57%,11.86%,8.24%,9.87%,8.06%,9.04%,
Operating Profit,1.16,2.06,2.26,3.55,3.02,2.79,2.91
OPM %,12.57%,19.09%,14.43%,19.36%,18.45%,17.88%,19.31%
Other Income,0.17,0.08,0.24,0.50,0.42,0.29,0.10
  └─ Exceptional items,-0.04,-0.08,-0.01,0.19,0.04,0.01,
  └─ Other income normal,0.21,0.16,0.25,0.31,0.38,0.28,
Interest,0.07,0.13,0.09,0.05,0.07,0.07,0.05
Depreciation,0.70,1.06,0.78,0.79,0.94,1.01,1.14
Profit before tax,0.56,0.95,1.63,3.21,2.43,2.00,1.82
Tax %,39.29%,44.21%,37.42%,36.76%,23.46%,39.00%,
Net Profit,0.34,0.54,1.01,2.04,1.86,1.22,1.04
  └─ Exceptional items AT,-0.02,-0.03,-0.01,0.12,0.02,0.01,
  └─ Profit excl Excep,0.36,0.57,1.02,1.92,1.84,1.21,
  └─ Profit for PE,0.36,0.57,1.02,1.92,1.84,1.21,
  └─ Profit for EPS,0.34,0.54,1.01,2.04,1.86,1.22,
  └─ Profit Growth %,,58.33%,78.95%,88.24%,-4.17%,-34.24%,
EPS in Rs,0.75,1.19,2.22,4.49,4.09,2.69,2.28
Dividend Payout %,64.85%,61.25%,43.66%,27.82%,26.85%,40.93%,
