Metric,Aug 2007,Aug 2008,Aug 2009,Aug 2010,Mar 20117m,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2024,Mar 2025,Mar 2026,Mar 2011
Sales,24,15,-0,15,-0,2,-0,0,0,545,638,580,
  └─ Sales Growth %,20.91%,-34.83%,-100.00%,,,,-100.00%,,-32.14%,,17.10%,-9.11%,
Expenses,14,14,2,14,2,2,0,0,0,461,549,320,
  └─ Material Cost %,-19.39%,-3.87%,,-8.25%,,0.00%,,0.00%,0.00%,-2.32%,-1.08%,16.07%,
    └─ Raw material cost,0,0,0,0,,0,0,0,0,0,3,39,0
    └─ Change in inventory,-5,-1,0,-1,,0,0,0,0,-13,-10,54,0
  └─ Manufacturing Cost %,71.22%,80.70%,,84.78%,,70.29%,,0.00%,0.00%,85.00%,80.40%,0.00%,
  └─ Employee Cost %,4.25%,5.94%,,4.29%,,5.14%,,3.57%,15.79%,0.88%,2.02%,3.45%,
  └─ Other Cost %,2.90%,4.97%,,11.33%,,27.43%,,32.14%,57.89%,1.09%,4.70%,35.76%,
Operating Profit,10,2,-2,1,-2,-0,-0,0,0,84,89,259,
OPM %,41%,12%,,8%,,-3%,,64%,26%,15%,14%,45%,
Other Income,1,-2,-11,1,0,0,0,0,-0,5,6,16,
  └─ Exceptional items,0.00,-2.86,-11.31,0.09,,0.00,0.00,0.00,0.00,1.35,0.70,0.00,0.00
  └─ Other income normal,0.76,0.59,0.57,0.46,,0.04,0.26,0.01,0.00,3.40,5.29,16.28,0.01
Interest,0,0,0,0,0,0,0,-0,-0,2,15,45,
Depreciation,1,0,0,0,0,0,0,0,0,0,24,171,
Profit before tax,9,-1,-13,2,-2,-0,-0,0,0,86,56,60,
Tax %,9%,48%,-0%,6%,6%,189%,-167%,-200%,-1000%,26%,29%,28%,
Net Profit,8,-1,-13,1,-2,-1,0,0,0,64,40,43,
  └─ Profit from Associates,0.00,0.12,0.11,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,0.00,-2.42,-11.31,0.09,,0.00,0.00,0.00,0.00,1.00,0.51,0.00,0.00
  └─ Profit excl Excep,8.12,1.19,-1.89,1.39,,-0.56,0.02,0.06,0.12,62.77,39.47,42.69,-1.72
  └─ Profit for PE,8.12,1.19,-1.89,1.39,,-0.56,0.02,0.06,0.12,62.77,39.47,42.69,-1.72
  └─ Profit for EPS,8.12,-1.23,-13.20,1.48,,-0.56,0.02,0.06,0.12,63.77,39.98,42.69,-1.72
  └─ Profit Growth %,48.18%,-85.34%,-258.82%,173.54%,,67.44%,103.57%,200.00%,100.00%,,-37.12%,8.16%,8.99%
EPS in Rs,0.63,-0.08,-0.87,0.10,-0.11,-0.04,0.00,0.00,0.01,3.42,1.79,1.58,
Dividend Payout %,11%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,9%,11%,-0%,
