Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,3851,2729,2606,2650,3954,5685,4281,4737,4996
  └─ Sales Growth %,,-29.12%,-4.50%,1.69%,49.16%,43.78%,-24.70%,10.67%,5.46%
Expenses,3105,1941,2167,2052,2785,3719,3366,3638,3706
  └─ Material Cost %,16.93%,24.48%,29.20%,29.41%,27.83%,25.43%,30.79%,28.78%,32.87%
    └─ Raw material cost,525,862,864,821,1109,1752,1445,1550,1635
    └─ Change in inventory,127,-194,-103,-42,-9,-307,-127,-187,7
  └─ Manufacturing Cost %,27.59%,29.04%,32.03%,29.88%,26.30%,24.56%,27.86%,27.35%,15.13%
  └─ Employee Cost %,9.14%,6.85%,8.03%,8.40%,6.99%,6.00%,8.32%,9.23%,9.73%
  └─ Other Cost %,26.97%,10.76%,13.90%,9.73%,9.32%,9.44%,11.66%,11.44%,16.45%
Operating Profit,745,788,439,598,1168,1965,915,1100,1290
OPM %,19%,29%,17%,23%,30%,35%,21%,23%,26%
Other Income,112,78,190,199,161,172,100,115,22
  └─ Exceptional items,20.54,-2.41,-26.01,-2.47,21.00,2.63,-7.40,-0.68,-20.00
  └─ Other income normal,91.83,80.14,216.25,201.08,139.55,169.67,106.93,115.69,42.00
Interest,279,56,105,113,78,117,133,147,138
Depreciation,299,164,192,202,205,236,286,355,367
Profit before tax,279,645,332,482,1045,1785,595,713,807
Tax %,14%,-93%,43%,146%,26%,26%,27%,23%,29%
Net Profit,240,1246,189,-222,776,1323,435,546,574
  └─ Minority share,13,2,7,3,11,6,0,0,0
  └─ Exceptional items AT,6,-2,-14,-2,16,2,-5,-0,-14
  └─ Profit excl Excep,234,1248,203,-220,760,1321,440,546,588
  └─ Profit for PE,247,1250,210,-217,772,1327,440,547,588
  └─ Profit for EPS,254,1249,196,-219,787,1329,435,546,574
  └─ Profit Growth %,,406%,-83%,-203%,456%,72%,-67%,24%,8%
EPS in Rs,,,17.87,-19.91,71.66,120.97,39.59,49.71,52.25
Dividend Payout %,15%,0%,0%,0%,6%,3%,8%,6%,6%
