Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,5310,6972,6288,3893,2969,1908,117,699,2454,4,4,4
  └─ Sales Growth %,54.76%,31.28%,-9.80%,-38.10%,-23.73%,-35.74%,-93.86%,496.67%,251.15%,-99.86%,3.69%,0.82%
Expenses,4275,5668,5127,3147,2504,1050,188,619,34,12,52,2
  └─ Material Cost %,39.93%,47.11%,35.43%,16.75%,28.22%,6.48%,5.17%,6.54%,0.00%,0.00%,0.00%,0.00%
    └─ Raw material cost,2352.47,3188.24,2251.55,524.58,883.44,123.54,6.05,45.72,0.00,0.00,0.00,0.00
    └─ Change in inventory,-231.83,95.70,-23.83,127.48,-45.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Manufacturing Cost %,27.69%,13.00%,18.04%,26.99%,15.07%,12.49%,53.57%,18.27%,0.00%,1.70%,2.19%,0.00%
  └─ Employee Cost %,4.28%,4.03%,5.35%,9.05%,7.23%,7.63%,76.18%,13.94%,0.06%,21.02%,21.10%,21.47%
  └─ Other Cost %,8.60%,17.18%,22.72%,28.06%,33.84%,28.42%,26.04%,49.82%,1.32%,315.34%,1402.19%,30.98%
Operating Profit,1035,1303,1161,745,464,858,-71,80,2420,-8,-48,2
OPM %,19%,19%,18%,19%,16%,45%,-61%,11%,99%,-238%,-1325%,48%
Other Income,294,91,-92,112,1279,-498,69,156,-47,0,0,51
  └─ Exceptional items,272,-7,-206,21,-7,-507,-194,-1,2403,0,0,0
  └─ Other income normal,22,98,114,92,1286,9,263,157,-2450,0,0,51
Interest,219,218,279,279,167,219,253,258,0,0,0,0
Depreciation,285,325,349,299,169,264,283,294,0,0,0,0
Profit before tax,826,852,441,279,1408,-123,-538,-317,2372,-8,-48,53
Tax %,19%,29%,51%,14%,4%,93%,-20%,-23%,6%,-7%,56%,15%
Net Profit,667,609,215,240,1349,-236,-430,-244,2235,-8,-76,45
  └─ Minority share,-82,-210,-126,13,-44,113,198,132,13,0,0,0
  └─ Exceptional items AT,185,-4,-71,6,-7,-269,-194,-1,2265,0,0,0
  └─ Profit excl Excep,482,614,286,234,1356,33,-236,-242,-30,-8,-76,45
  └─ Profit for PE,423,402,117,247,1311,17,-127,-111,-17,-8,-76,45
  └─ Profit for EPS,585,399,88,254,1305,-123,-232,-111,2248,-8,-76,45
  └─ Profit Growth %,137%,-5%,-71%,111%,431%,-99%,-849%,13%,85%,56%,-899%,160%
EPS in Rs,53.25,36.33,8.02,23.07,118.73,-11.23,-21.08,-10.12,204.58,-0.69,-6.88,4.10
Dividend Payout %,7%,10%,44%,15%,0%,0%,0%,0%,0%,0%,0%,0%
