Metric,TTM
Sales,107
Expenses,92
Operating Profit,15
OPM %,14%
Other Income,4
Interest,8
Depreciation,2
Profit before tax,9
Tax %,
Net Profit,6
EPS in Rs,309.00
Dividend Payout %,
