Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,62,115,165,252,250,397,259,376,340
  └─ Sales Growth %,,84.07%,43.30%,52.98%,-0.82%,,-34.82%,45.42%,
Expenses,58,106,153,241,237,375,242,364,327
  └─ Material Cost %,79%,83%,84%,90%,88%,92%,87%,91%,
    └─ Raw material cost,54,103,131,225,220,366,220,346,
    └─ Change in inventory,-4,-7,7,2,-1,-2,5,-3,
  └─ Manufacturing Cost %,7%,2%,3%,2%,2%,0%,1%,1%,
  └─ Employee Cost %,2%,2%,2%,1%,2%,1%,1%,1%,
  └─ Other Cost %,5%,5%,5%,2%,3%,2%,4%,3%,
Operating Profit,4,9,12,11,13,22,16,12,13
OPM %,7%,8%,7%,4%,5%,6%,6%,3%,4%
Other Income,1,2,6,2,3,3,4,19,8
  └─ Exceptional items,0.03,0.10,3.31,0.00,0.00,0.18,0.36,12.87,
  └─ Other income normal,1.21,2.00,2.45,2.04,2.85,3.00,3.47,6.18,
Interest,2,4,5,6,9,11,7,4,5
Depreciation,0,1,2,2,2,4,4,5,6
Profit before tax,3,7,10,4,5,10,9,22,11
Tax %,10%,3%,1%,6%,22%,9%,27%,21%,
Net Profit,3,6,10,4,4,10,7,17,8
  └─ Minority share,0.00,-0.01,-1.22,-0.20,-0.11,0.00,0.00,0.00,
  └─ Exceptional items AT,0.03,0.10,3.25,0.00,0.00,0.17,0.25,8.91,
  └─ Profit excl Excep,3.02,6.25,6.96,3.87,3.72,9.36,6.60,8.07,
  └─ Profit for PE,3.02,6.24,6.13,3.67,3.61,9.36,6.60,8.07,
  └─ Profit for EPS,3.05,6.34,8.99,3.67,3.61,9.53,6.85,16.98,
  └─ Profit Growth %,,106.63%,-1.79%,-40.11%,-1.63%,,-29.49%,22.27%,
EPS in Rs,0.05,0.07,0.10,0.04,0.04,0.10,0.05,0.10,0.03
Dividend Payout %,13%,16%,6%,14%,14%,0%,0%,0%,
