Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,85,78,38,77,461,661,633,1629,1383,2468,2277
  └─ Sales Growth %,,-7.94%,-51.62%,103.82%,499.86%,43.31%,-4.25%,,-15.12%,78.44%,-7.74%
Expenses,79,75,36,75,433,609,565,1454,1237,2258,1920
  └─ Material Cost %,76%,77%,53%,74%,87%,84%,83%,87%,71%,68%,81%
    └─ Raw material cost,64,60,20,57,403,557,527,1422,975,1688,1919
    └─ Change in inventory,0,0,0,0,0,0,0,0,3,-0,-76
  └─ Manufacturing Cost %,0%,1%,1%,1%,0%,0%,1%,0%,16%,20%,0%
  └─ Employee Cost %,0%,0%,2%,2%,1%,0%,1%,1%,1%,2%,2%
  └─ Other Cost %,17%,19%,39%,21%,6%,7%,4%,1%,2%,1%,2%
Operating Profit,6,3,2,2,28,51,68,175,146,210,357
OPM %,7%,3%,6%,2%,6%,8%,11%,11%,11%,8%,16%
Other Income,0,0,2,2,2,-1,4,8,18,50,-13
  └─ Exceptional items,-0.05,-0.01,0.00,-0.05,0.00,-5.62,0.00,-0.16,-0.03,0.17,-38.66
  └─ Other income normal,0.05,0.04,1.69,2.04,1.85,4.60,4.44,8.20,18.13,50.19,25.32
Interest,0,1,3,1,0,1,9,19,29,28,32
Depreciation,2,1,1,1,1,1,5,7,14,33,20
Profit before tax,3,0,1,2,29,48,58,156,121,200,292
Tax %,0%,-1613%,13%,46%,-10%,31%,29%,26%,23%,21%,30%
Net Profit,3,5,0,1,32,33,41,116,93,158,204
  └─ Minority share,0,0,0,0,0,0,0,0,1,0,-0
  └─ Exceptional items AT,-0,-0,0,-0,0,-5,0,-0,-0,0,-39
  └─ Profit excl Excep,3,5,0,1,32,38,41,116,93,158,242
  └─ Profit for PE,3,5,0,1,32,38,41,116,94,159,242
  └─ Profit for EPS,3,5,0,1,32,33,41,116,94,159,203
  └─ Profit Growth %,,73%,-91%,111%,3161%,19%,8%,,-19%,69%,52%
EPS in Rs,0.29,0.51,0.04,0.09,3.01,3.16,3.90,10.50,8.11,12.29,14.82
Dividend Payout %,0%,0%,0%,0%,0%,0%,8%,4%,6%,0%,0%
