Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1608,1729,1691,1059,2508,3937,4563,5406,7028,8373
  └─ Sales Growth %,,7.52%,-2.20%,-37.37%,136.82%,56.96%,15.90%,18.49%,30.01%,19.14%
Expenses,1467,1616,1535,965,2101,2986,3322,3913,5180,6131
  └─ Material Cost %,26.31%,24.63%,21.55%,21.66%,23.15%,23.64%,20.21%,20.69%,21.02%,21.38%
    └─ Raw material cost,423,431,362,229,581,930,937,1119,1496,1799
    └─ Change in inventory,0,-5,2,0,0,0,-15,-1,-19,-9
  └─ Manufacturing Cost %,4.72%,5.85%,4.96%,30.05%,27.24%,25.00%,26.08%,24.95%,25.78%,0.00%
  └─ Employee Cost %,22.02%,24.49%,26.09%,21.73%,23.51%,19.57%,17.81%,17.41%,16.85%,16.21%
  └─ Other Cost %,38.19%,38.46%,38.17%,17.72%,9.86%,7.65%,8.71%,9.34%,10.05%,35.63%
Operating Profit,141,113,156,94,407,951,1241,1493,1849,2243
OPM %,9%,7%,9%,9%,16%,24%,27%,28%,26%,27%
Other Income,59,65,56,48,-122,110,139,177,82,114
  └─ Exceptional items,-1,-0,-1,-0,-234,-12,1,0,-73,-48
  └─ Other income normal,60,65,57,48,111,122,138,176,155,163
Interest,100,99,101,83,179,101,84,60,165,235
Depreciation,96,94,103,46,174,221,232,245,359,447
Profit before tax,5,-15,8,13,-69,739,1064,1365,1406,1676
Tax %,-236%,65%,102%,-1%,67%,18%,-4%,23%,24%,14%
Net Profit,16,-25,-0,59,-138,605,1104,1058,1076,1442
  └─ Profit from Associates,0,0,0,46,-23,0,0,0,0,0
  └─ Minority share,0,0,-3,0,0,0,0,0,0,0
  └─ Exceptional items AT,1,-0,-0,-0,-279,-10,1,0,-56,-42
  └─ Profit excl Excep,15,-25,0,59,141,615,1102,1057,1132,1484
  └─ Profit for PE,15,-25,-3,59,141,615,1102,1057,1132,1484
  └─ Profit for EPS,16,-25,-3,59,-138,605,1104,1058,1076,1442
  └─ Profit Growth %,,-269%,89%,2209%,139%,335%,79%,-4%,7%,31%
EPS in Rs,0.29,-0.47,-0.06,1.10,-1.42,6.24,11.37,10.88,11.07,14.82
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%,14%,14%,13%
