Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,19.19,38.06,30.21,29.71,56.62,63.13,87.33,75.03,90.82
  └─ Sales Growth %,,98.33%,-20.63%,-1.66%,90.58%,11.50%,38.33%,-14.08%,21.04%
Expenses,17.73,37.59,29.43,28.31,53.24,58.76,81.24,72.18,86.19
  └─ Manufacturing Cost %,8%,3%,0%,78%,83%,82%,84%,82%,0%
  └─ Employee Cost %,26%,14%,15%,13%,7%,9%,8%,11%,10%
  └─ Other Cost %,59%,82%,82%,5%,3%,3%,1%,3%,85%
Operating Profit,1.46,0.47,0.78,1.40,3.38,4.37,6.09,2.85,4.63
OPM %,7.61%,1.23%,2.58%,4.71%,5.97%,6.92%,6.97%,3.80%,5.10%
Other Income,0.05,0.52,0.49,0.45,0.16,0.05,-0.01,0.91,0.50
  └─ Exceptional items,0.00,0.00,-0.02,0.00,0.00,0.00,-0.77,0.01,-0.28
  └─ Other income normal,0.05,0.52,0.51,0.45,0.16,0.05,0.76,0.90,0.78
Interest,0.29,0.74,0.75,1.02,0.96,0.85,0.87,0.74,0.61
Depreciation,0.47,0.14,0.13,0.14,0.27,0.27,0.28,0.09,0.09
Profit before tax,0.75,0.11,0.39,0.69,2.31,3.30,4.93,2.93,4.43
Tax %,18.67%,-109.09%,0.00%,2.90%,31.17%,35.76%,27.18%,20.82%,21.44%
Net Profit,0.61,0.23,0.39,0.66,1.60,2.12,3.59,2.32,3.48
  └─ Exceptional items AT,0,0,-0,0,0,0,-1,0,-0
  └─ Profit excl Excep,1,0,0,1,2,2,4,2,4
  └─ Profit for PE,1,0,0,1,2,2,4,2,4
  └─ Profit for EPS,1,0,0,1,2,2,4,2,3
  └─ Profit Growth %,,-62%,78%,61%,142%,32%,98%,-45%,60%
EPS in Rs,40.67,2.56,4.33,7.33,6.35,7.24,12.26,7.92,11.89
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,27.64%,16.32%,25.26%,16.84%
