Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,3713,4561,6302,8779,8676,8445,9677,12394,14041,14337
  └─ Sales Growth %,,22.85%,38.16%,39.30%,-1.17%,-2.66%,14.59%,28.08%,13.29%,2.11%
Interest,2492,2741,3761,4885,4539,4148,4679,6350,7576,7975
Expenses,1234,1827,2559,4919,5129,6674,6071,7520,9312,9383
  └─ Manufacturing Cost %,0.10%,0.14%,0.59%,0.41%,1.91%,2.56%,2.37%,1.54%,1.17%,0.00%
  └─ Employee Cost %,12.04%,12.77%,11.96%,11.04%,12.97%,15.82%,17.13%,15.01%,15.57%,16.96%
  └─ Other Cost %,21.09%,27.14%,28.05%,44.58%,44.24%,60.66%,43.24%,44.14%,49.58%,48.49%
Financing Profit,-12,-6,-17,-1025,-993,-2378,-1073,-1477,-2847,-3021
Financing Margin %,-0%,-0%,-0%,-12%,-11%,-28%,-11%,-12%,-20%,-21%
Other Income,755,1069,1441,1918,1875,2352,2507,3060,3778,4127
  └─ Exceptional items,1,0,0,0,-2,-0,-0,0,1,0
  └─ Other income normal,755,1069,1441,1918,1876,2352,2507,3059,3777,4127
Depreciation,62,89,126,146,170,180,213,235,236,0
Profit before tax,681,974,1298,747,712,-206,1221,1349,696,1106
Tax %,35%,34%,34%,33%,26%,-20%,25%,7%,-3%,21%
Net Profit,447,633,861,500,529,-166,920,1260,717,879
  └─ Profit from Associates,1,-6,0,0,0,0,0,0,0,0
  └─ Minority share,0,-2,-4,0,0,0,0,0,0,0
  └─ Exceptional items AT,1,0,0,0,-1,-0,-0,0,1,0
  └─ Profit excl Excep,446,633,861,500,530,-166,920,1259,716,879
  └─ Profit for PE,446,632,858,500,530,-166,920,1259,716,879
  └─ Profit for EPS,447,632,858,500,529,-166,920,1260,717,879
  └─ Profit Growth %,,42%,36%,-42%,6%,-131%,654%,37%,-43%,23%
EPS in Rs,11.91,15.05,20.10,9.83,8.85,-2.77,15.34,20.82,11.80,14.22
Dividend Payout %,15%,14%,13%,15%,0%,0%,10%,7%,8%,7%
