Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,424,222,303,703,1112,2160,2746,4870,5288
  └─ Sales Growth %,,-47.69%,36.43%,,58.08%,94.30%,27.16%,77.30%,8.59%
Expenses,396,219,298,653,1023,1983,2484,4385,4901
  └─ Material Cost %,87%,87%,87%,79%,80%,82%,80%,80%,82%
    └─ Raw material cost,370,194,265,553,913,1793,2279,4108,4454
    └─ Change in inventory,-0,-1,-2,3,-29,-28,-73,-216,-98
  └─ Manufacturing Cost %,3%,5%,0%,4%,3%,3%,3%,3%,0%
  └─ Employee Cost %,2%,5%,5%,8%,7%,6%,6%,6%,6%
  └─ Other Cost %,1%,2%,6%,2%,2%,2%,1%,1%,5%
Operating Profit,28,3,5,50,89,177,262,484,387
OPM %,7%,1%,2%,7%,8%,8%,10%,10%,7%
Other Income,3,4,7,2,5,4,12,35,55
  └─ Exceptional items,-0,-0,0,-0,1,-0,-1,-0,0
  └─ Other income normal,3,4,7,2,4,4,13,35,55
Interest,6,11,11,18,23,48,52,89,102
Depreciation,2,5,9,18,22,35,47,66,88
Profit before tax,23,-9,-9,15,49,98,176,365,252
Tax %,23%,0%,-43%,23%,24%,21%,22%,20%,23%
Net Profit,18,-9,-5,12,37,77,135,288,197
  └─ Profit from Associates,0,0,0,0,0,0,-2,-3,3
  └─ Minority share,0,0,0,0,-0,-0,0,0,0
  └─ Exceptional items AT,-0,-0,0,-0,1,-0,-1,-0,0
  └─ Profit excl Excep,18,-8,-5,12,37,78,135,288,197
  └─ Profit for PE,18,-8,-5,12,36,78,135,288,197
  └─ Profit for EPS,18,-9,-5,12,37,77,135,288,197
  └─ Profit Growth %,,-147%,41%,,203%,115%,74%,113%,-32%
EPS in Rs,,-0.53,-0.30,0.59,1.74,3.41,5.18,10.17,6.89
Dividend Payout %,0%,0%,0%,0%,0%,0%,4%,2%,4%
