Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1013,1218,1351,1497,2047,2474,1905,2662,2628,2453,2218,2415
  └─ Sales Growth %,-7.64%,20.26%,10.97%,10.80%,36.73%,20.85%,-23.00%,39.71%,-1.26%,-6.67%,-9.58%,8.89%
Expenses,664,871,1005,1071,1469,1811,1353,1933,1869,1792,1675,1861
  └─ Material Cost %,7.63%,0.00%,0.00%,10.23%,6.19%,13.88%,2.81%,23.62%,7.13%,2.49%,0.13%,45.91%
    └─ Raw material cost,77,0,0,113,223,249,333,478,99,36,74,1066
    └─ Change in inventory,0,0,0,40,-96,95,-279,151,89,25,-71,43
  └─ Manufacturing Cost %,17.05%,17.17%,25.21%,10.39%,34.68%,32.44%,37.43%,23.27%,38.33%,44.78%,47.43%,0.00%
  └─ Employee Cost %,32.04%,28.07%,30.86%,30.66%,23.80%,21.07%,25.37%,19.44%,19.36%,20.08%,22.70%,21.60%
  └─ Other Cost %,8.87%,26.25%,18.28%,20.22%,7.08%,5.81%,5.39%,6.27%,6.30%,5.69%,5.26%,9.55%
Operating Profit,348,347,347,427,578,663,552,729,759,661,543,554
OPM %,34%,29%,26%,28%,28%,27%,29%,27%,29%,27%,24%,23%
Other Income,147,208,210,154,200,268,101,84,103,92,118,123
  └─ Exceptional items,0,-2,71,0,0,2,4,2,1,0,0,0
  └─ Other income normal,147,211,138,153,200,266,96,82,102,91,118,123
Interest,2,1,14,25,10,10,9,13,21,21,34,4
Depreciation,26,37,38,36,38,47,52,66,67,61,62,66
Profit before tax,468,518,505,519,730,874,593,735,774,670,565,608
Tax %,33%,34%,33%,31%,33%,28%,25%,27%,26%,26%,25%,25%
Net Profit,312,340,337,357,490,633,444,539,571,495,424,454
  └─ Minority share,0,-2,-9,-14,-20,-17,-12,-22,-29,-40,-39,-44
  └─ Exceptional items AT,0,-1,48,0,0,1,3,2,1,0,0,0
  └─ Profit excl Excep,312,342,289,357,490,632,441,537,570,495,424,454
  └─ Profit for PE,312,340,282,342,469,615,429,515,541,455,385,410
  └─ Profit for EPS,312,339,328,342,470,616,432,516,542,455,385,410
  └─ Profit Growth %,20%,9%,-17%,21%,37%,31%,-30%,20%,5%,-16%,-15%,7%
EPS in Rs,12.49,13.55,6.57,6.85,9.39,12.32,9.00,10.74,11.28,9.48,8.01,8.54
Dividend Payout %,20%,40%,46%,32%,54%,65%,72%,79%,91%,95%,94%,115%
