Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,33.45,2.79,3.95,6.11
  └─ Sales Growth %,,-92%,42%,55%
Expenses,30.08,3.77,5.81,6.78
  └─ Material Cost %,0%,0%,0%,72%
    └─ Raw material cost,0.00,0.00,0.00,4.37
  └─ Manufacturing Cost %,83%,46%,56%,0%
  └─ Employee Cost %,4%,65%,47%,28%
  └─ Other Cost %,3%,24%,44%,12%
Operating Profit,3.37,-0.98,-1.86,-0.67
OPM %,10.07%,-35.13%,-47.09%,-10.97%
Other Income,1.84,0.45,0.44,1.60
  └─ Exceptional items,1.52,0.02,0.00,0.00
  └─ Other income normal,0.32,0.43,0.44,1.60
Interest,0.33,0.34,0.15,0.11
Depreciation,0.31,0.39,0.46,0.34
Profit before tax,4.57,-1.26,-2.03,0.48
Tax %,17.51%,-24.60%,-31.53%,-25.00%
Net Profit,3.76,-0.95,-1.40,0.61
  └─ Minority share,0,0,-0,-0
  └─ Exceptional items AT,1,0,0,0
  └─ Profit excl Excep,3,-1,-1,1
  └─ Profit for PE,3,-1,-1,1
  └─ Profit for EPS,4,-1,-1,1
  └─ Profit Growth %,,-138%,-49%,139%
EPS in Rs,,,-0.08,0.03
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%
