Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,241,393,419,512,685,936,791,967,957
  └─ Sales Growth %,,63.13%,6.62%,22.21%,33.66%,36.64%,-15.42%,22.13%,-1.04%
Expenses,167,257,234,253,385,533,459,579,602
  └─ Material Cost %,47.05%,43.54%,30.82%,24.12%,32.80%,34.83%,35.01%,36.28%,37.35%
    └─ Raw material cost,107,179,128,138,245,338,283,368,360
    └─ Change in inventory,6,-7,1,-14,-20,-12,-6,-18,-2
  └─ Manufacturing Cost %,11.95%,12.12%,12.74%,11.53%,12.92%,12.61%,11.93%,12.87%,0.00%
  └─ Employee Cost %,6.64%,6.32%,7.40%,8.50%,5.04%,4.83%,6.12%,5.83%,5.00%
  └─ Other Cost %,3.72%,3.25%,4.78%,5.21%,5.41%,4.72%,4.95%,4.87%,20.53%
Operating Profit,74,137,186,260,300,403,332,388,355
OPM %,31%,35%,44%,51%,44%,43%,42%,40%,37%
Other Income,5,11,11,25,30,30,41,39,33
  └─ Exceptional items,0.00,-0.13,0.00,-0.31,0.00,-0.08,3.46,-0.02,0.00
  └─ Other income normal,4.54,11.29,10.87,25.64,29.97,29.83,37.83,38.59,32.56
Interest,1,0,0,0,0,1,1,1,0
Depreciation,8,11,14,17,25,36,46,69,78
Profit before tax,70,137,182,267,305,396,326,357,310
Tax %,30%,28%,23%,26%,25%,25%,25%,26%,26%
Net Profit,49,98,140,198,228,295,244,264,230
  └─ Exceptional items AT,0,-0,0,-0,0,-0,3,-0,0
  └─ Profit excl Excep,49,98,140,199,228,295,241,264,230
  └─ Profit for PE,49,98,140,199,228,295,241,264,230
  └─ Profit for EPS,49,98,140,198,228,295,244,264,230
  └─ Profit Growth %,,100%,43%,42%,15%,29%,-18%,10%,-13%
EPS in Rs,345.41,689.84,1051.67,18.68,21.51,27.78,22.97,24.88,21.61
Dividend Payout %,12%,15%,2%,134%,15%,18%,22%,24%,19%
