Metric,Mar 201813m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2018
Sales,6872,8240,5575,5081,5199,2015,3035,6302,7548,
  └─ Sales Growth %,,19.92%,-32.34%,-8.87%,2.33%,-61.24%,50.64%,107.61%,19.77%,
Expenses,6330,7582,5246,5458,6102,3139,3043,6038,7246,
  └─ Material Cost %,,0%,0%,0%,0%,0%,0%,0%,62%,78%
    └─ Raw material cost,,0,0,0,0,0,0,0,4688,5373
    └─ Change in inventory,,1,0,0,0,0,0,0,0,12
  └─ Manufacturing Cost %,,88%,87%,99%,109%,138%,90%,90%,0%,11%
  └─ Employee Cost %,,2%,4%,4%,4%,12%,7%,3%,2%,1%
  └─ Other Cost %,,2%,2%,5%,4%,6%,3%,3%,32%,2%
Operating Profit,542,658,329,-377,-903,-1124,-7,264,302,
OPM %,8%,8%,6%,-7%,-17%,-56%,-0%,4%,4%,
Other Income,13,209,303,158,95,111,85,40,-407,
  └─ Exceptional items,,-0,0,-0,1,0,0,1,-611,0
  └─ Other income normal,,210,303,158,94,111,85,39,204,13
Interest,23,100,220,105,87,151,234,127,154,
Depreciation,3,8,14,17,15,15,17,14,11,
Profit before tax,529,759,398,-340,-910,-1179,-172,163,-270,
Tax %,15%,16%,24%,-15%,1%,-0%,22%,47%,9%,
Net Profit,451,638,304,-290,-916,-1175,-211,86,-296,
  └─ Minority share,,1,6,5,6,5,-1,-4,-14,2
  └─ Exceptional items AT,,-0,0,-0,1,0,0,1,-570,0
  └─ Profit excl Excep,,639,304,-290,-917,-1175,-211,85,274,451
  └─ Profit for PE,,639,310,-285,-910,-1170,-212,81,260,452
  └─ Profit for EPS,,639,310,-285,-909,-1170,-212,81,-309,452
  └─ Profit Growth %,,41%,-52%,-192%,-219%,-28%,82%,138%,222%,
EPS in Rs,281.98,39.85,19.34,-17.80,-47.94,-61.65,-9.09,3.49,-13.25,
Dividend Payout %,0%,0%,31%,0%,0%,0%,0%,0%,0%,
