Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,131.59,1.09,1.90,0.58,0.94,0.44,1.23,1.43,2.50,1.31
  └─ Sales Growth %,,-99%,74%,-69%,62%,-53%,180%,16%,75%,
Expenses,134.63,5.08,6.33,12.57,15.01,12.81,1.53,4.98,-3.96,-0.21
  └─ Material Cost %,0%,64%,64%,33%,55%,70%,75%,64%,74%,
    └─ Raw material cost,0.00,0.70,1.21,0.19,0.52,0.31,0.92,0.92,1.84,
  └─ Manufacturing Cost %,97%,10%,5%,7%,4%,61%,6%,4%,1%,
  └─ Employee Cost %,2%,67%,39%,112%,68%,41%,20%,18%,13%,
  └─ Other Cost %,4%,325%,225%,2016%,1469%,2739%,24%,262%,-246%,
Operating Profit,-3.04,-3.99,-4.43,-11.99,-14.07,-12.37,-0.30,-3.55,6.46,1.52
OPM %,-2.31%,-366.06%,-233.16%,-2067.24%,-1496.81%,-2811.36%,-24.39%,-248.25%,258.40%,116.03%
Other Income,1.34,3.82,-4.08,0.15,0.19,0.00,15.78,5.86,21.89,6.13
  └─ Exceptional items,0.01,-7.97,-6.00,0.00,0.00,0.00,0.00,0.00,18.57,
  └─ Other income normal,1.33,11.79,1.92,0.15,0.19,0.00,15.78,5.86,3.32,
Interest,6.62,3.94,3.32,3.65,4.01,4.39,4.82,5.30,5.81,6.26
Depreciation,0.08,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Profit before tax,-8.40,-4.12,-11.83,-15.49,-17.89,-16.76,10.65,-2.99,22.54,1.39
Tax %,2.14%,0.24%,-0.25%,0.00%,0.06%,0.12%,0.00%,0.00%,0.00%,
Net Profit,-8.56,-4.13,-11.80,-15.48,-17.90,-16.77,10.66,-2.99,22.54,1.38
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,0,-8,-6,0,0,0,0,0,19,
  └─ Profit excl Excep,-9,4,-6,-15,-18,-17,11,-3,4,
  └─ Profit for PE,-9,4,-6,-15,-18,-17,11,-3,4,
  └─ Profit for EPS,-9,-4,-12,-15,-18,-17,11,-3,23,
  └─ Profit Growth %,,145%,-252%,-167%,-16%,6%,164%,-128%,233%,
EPS in Rs,-17.15,-8.28,-23.64,-31.02,-35.87,-33.60,21.36,-5.99,45.16,2.78
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
