Metric,Mar 20188m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2018
Sales,-0,268,259,249,324,349,415,443,489,
  └─ Sales Growth %,,,-3.31%,-3.94%,30.23%,7.76%,18.69%,6.82%,10.36%,
Expenses,-0,238,235,223,271,334,369,385,453,
  └─ Manufacturing Cost %,,15.97%,16.95%,19.60%,18.50%,20.21%,23.13%,19.63%,0.00%,
  └─ Employee Cost %,,51.87%,54.93%,48.07%,42.69%,52.14%,46.32%,49.13%,47.70%,
  └─ Other Cost %,,21.09%,18.85%,21.77%,22.46%,23.40%,19.46%,18.19%,44.96%,
Operating Profit,-0,30,24,26,53,15,46,58,36,
OPM %,,11%,9%,11%,16%,4%,11%,13%,7%,
Other Income,-0,1,2,5,9,5,3,7,-11,
  └─ Exceptional items,,0.01,0.00,0.01,0.01,0.02,0.06,0.05,-15.89,0.00
  └─ Other income normal,,0.57,1.77,4.95,8.85,5.47,2.67,7.28,4.71,0.00
Interest,2,9,12,12,12,15,18,17,12,
Depreciation,-0,38,53,52,16,17,18,11,8,
Profit before tax,-2,-17,-40,-33,34,-12,13,37,5,
Tax %,-0%,-29%,-16%,32%,37%,4%,55%,35%,84%,
Net Profit,-5,-12,-33,-44,21,-13,6,24,1,
  └─ Profit from Associates,,0,0,0,0,0,0,0,0,-3
  └─ Exceptional items AT,,0,0,0,0,0,0,0,-3,0
  └─ Profit excl Excep,,-12,-33,-44,21,-13,6,24,4,-5
  └─ Profit for PE,,-12,-33,-44,21,-13,6,24,4,-5
  └─ Profit for EPS,,-12,-33,-44,21,-13,6,24,1,-5
  └─ Profit Growth %,,-124%,-180%,-32%,148%,-161%,144%,324%,-85%,
EPS in Rs,,,-5.67,-7.49,3.62,-2.21,0.99,4.18,0.14,
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
