Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,155,213,236,197,234,233,306,402,208,227,233,376,380
  └─ Sales Growth %,-15%,38%,11%,-16%,19%,-0%,31%,31%,-48%,9%,3%,62%,
Expenses,107,146,173,174,197,163,162,175,166,170,209,319,318
  └─ Material Cost %,26.07%,25.00%,27.71%,39.08%,34.15%,26.26%,26.87%,21.55%,43.53%,31.43%,52.81%,48.10%,
    └─ Raw material cost,34,51,77,69,80,56,86,105,74,70,121,193,
    └─ Change in inventory,6,2,-12,8,-0,5,-3,-18,16,2,2,-11,
  └─ Manufacturing Cost %,18.75%,18.84%,18.76%,20.19%,17.49%,18.59%,13.00%,11.51%,19.58%,20.48%,20.91%,14.28%,
  └─ Employee Cost %,8.46%,6.86%,7.41%,10.14%,8.48%,10.38%,7.91%,6.36%,12.49%,11.62%,11.85%,7.24%,
  └─ Other Cost %,15.69%,17.66%,19.54%,19.22%,24.32%,14.54%,5.07%,4.19%,3.85%,11.36%,4.22%,15.23%,
Operating Profit,48,67,63,22,36,70,144,227,43,57,24,57,62
OPM %,31%,32%,27%,11%,16%,30%,47%,56%,21%,25%,10%,15%,16%
Other Income,2,5,7,6,7,-2,12,19,1,-15,10,25,9
  └─ Exceptional items,-0.20,0.00,0.95,0.00,-0.92,-7.63,1.06,0.00,0.00,-15.49,7.62,15.91,
  └─ Other income normal,1.91,4.69,6.11,6.37,8.12,6.13,11.20,19.11,0.69,0.96,2.83,9.14,
Interest,0,0,0,5,5,2,1,1,3,13,9,6,5
Depreciation,10,11,10,7,9,9,9,9,11,18,17,19,19
Profit before tax,39,61,60,17,29,58,147,236,30,12,8,57,47
Tax %,29%,34%,33%,60%,37%,33%,35%,35%,39%,-72%,32%,25%,
Net Profit,28,40,40,7,18,39,96,154,18,21,5,43,35
  └─ Exceptional items AT,-0,0,1,0,-1,-5,1,0,0,-14,5,12,
  └─ Profit excl Excep,28,40,39,7,19,44,95,154,18,35,0,31,
  └─ Profit for PE,28,40,39,7,19,44,95,154,18,35,0,31,
  └─ Profit for EPS,28,40,40,7,18,39,96,154,18,21,5,43,
  └─ Profit Growth %,-51%,43%,-2%,-83%,185%,130%,118%,62%,-88%,95%,-99%,13805%,
EPS in Rs,48.88,70.28,70.07,11.72,32.37,67.79,168.14,269.82,31.44,37.16,9.53,74.58,62.16
Dividend Payout %,25%,22%,22%,43%,31%,51%,39%,24%,40%,34%,53%,0%,
