Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,434,538,698,767,755,671,785,840,665,1000,975,1080,1044
  └─ Sales Growth %,38.63%,24.20%,29.59%,9.85%,-1.53%,-11.14%,17.01%,7.00%,-20.82%,50.38%,-2.51%,10.76%,
Expenses,306,342,475,629,639,596,726,791,801,1058,769,892,896
  └─ Material Cost %,2%,-0%,3%,1%,0%,3%,1%,4%,2%,5%,4%,6%,
    └─ Raw material cost,0.00,0.00,24.42,4.51,1.65,27.15,4.41,34.59,10.50,53.79,38.02,44.90,
    └─ Change in inventory,7.79,-0.92,-0.55,0.91,-0.21,-4.03,2.23,-0.35,1.87,-2.56,0.50,21.65,
  └─ Manufacturing Cost %,42%,38%,37%,40%,45%,51%,57%,66%,19%,10%,12%,14%,
  └─ Employee Cost %,7%,7%,6%,6%,7%,12%,7%,6%,8%,7%,8%,7%,
  └─ Other Cost %,20%,18%,21%,35%,33%,22%,27%,18%,92%,84%,55%,55%,
Operating Profit,127,196,223,138,116,75,59,49,-136,-58,206,188,148
OPM %,29%,36%,32%,18%,15%,11%,8%,6%,-20%,-6%,21%,17%,14%
Other Income,42,25,5,7,25,96,41,24,65,162,36,72,114
  └─ Exceptional items,-0,0,-0,-0,-6,43,-0,-0,25,0,3,9,
  └─ Other income normal,42,25,5,7,31,53,41,24,40,162,33,63,
Interest,4,15,46,121,93,135,162,149,110,126,150,141,137
Depreciation,28,35,67,122,84,89,124,150,153,197,204,223,241
Profit before tax,137,170,115,-98,-36,-53,-186,-226,-333,-219,-112,-103,-115
Tax %,20%,28%,24%,-42%,76%,72%,9%,2%,3%,-39%,-88%,-102%,
Net Profit,109,123,87,-57,-64,-90,-204,-231,-343,-134,-14,2,-28
  └─ Minority share,-22.64,-22.31,-6.52,56.80,82.05,8.98,147.30,57.98,77.04,-34.33,-15.25,-14.60,
  └─ Exceptional items AT,-0.02,0.00,-0.03,-0.01,4.80,43.30,-0.14,-0.03,25.39,0.00,0.44,9.21,
  └─ Profit excl Excep,109.23,122.77,86.77,-56.59,-68.59,-133.49,-203.77,-230.99,-368.51,-134.09,-14.34,-7.31,
  └─ Profit for PE,86.59,100.46,80.25,0.21,13.46,-120.20,-56.57,-173.02,-285.77,-168.42,-29.59,-21.91,
  └─ Profit for EPS,86.57,100.46,80.22,0.20,18.26,-81.21,-56.61,-173.04,-266.08,-168.42,-29.15,-12.70,
  └─ Profit Growth %,99.32%,16.02%,-20.12%,-99.74%,6309.52%,-993.01%,52.94%,-205.84%,-65.17%,41.06%,82.43%,25.95%,
EPS in Rs,30.06,34.88,27.85,0.07,6.34,-28.20,-19.66,-60.08,-92.39,-58.48,-8.65,-3.77,-11.27
Dividend Payout %,30%,31%,38%,15420%,169%,-44%,-64%,-21%,-14%,-6%,-33%,-106%,
