Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,259,379,595,619,693,816,872,897,1242,1648,1815,2014,2211
  └─ Sales Growth %,71.73%,46.23%,57.00%,4.11%,11.95%,17.71%,6.85%,2.82%,38.51%,32.68%,10.16%,10.98%,
Expenses,224,341,497,641,641,683,743,751,1113,1410,1593,1725,1833
  └─ Manufacturing Cost %,1%,2%,1%,2%,12%,14%,16%,19%,22%,21%,18%,17%,
  └─ Employee Cost %,67%,72%,66%,73%,68%,58%,60%,58%,60%,59%,62%,60%,
  └─ Other Cost %,18%,17%,16%,28%,12%,11%,10%,7%,8%,6%,8%,8%,
Operating Profit,36,38,98,-22,52,133,129,145,129,238,222,289,378
OPM %,14%,10%,16%,-4%,8%,16%,15%,16%,10%,14%,12%,14%,17%
Other Income,1,1,3,-332,1,27,22,13,13,15,33,20,56
  └─ Exceptional items,-0.00,-0.35,-0.00,-332.28,-0.00,-0.00,-0.00,-0.00,0.09,-0.00,-0.00,-29.49,
  └─ Other income normal,0.90,1.56,3.41,0.24,0.58,27.25,21.63,13.45,13.35,14.72,33.08,49.66,
Interest,1,3,6,16,17,15,8,6,5,4,4,3,4
Depreciation,2,5,11,17,3,3,11,12,16,26,30,34,26
Profit before tax,33,31,84,-387,33,142,131,141,122,222,220,272,404
Tax %,22%,18%,41%,2%,2%,-4%,7%,25%,25%,24%,25%,26%,
Net Profit,26,25,50,-395,32,147,122,105,92,168,166,200,302
  └─ Exceptional items AT,-0,-0,-0,-324,-0,-0,-0,-0,0,-0,-0,-21,
  └─ Profit excl Excep,26,26,50,-71,32,147,122,105,92,168,166,221,
  └─ Profit for PE,26,26,50,-71,32,147,122,105,92,168,166,221,
  └─ Profit for EPS,26,25,50,-395,32,147,122,105,92,168,166,200,
  └─ Profit Growth %,411%,1%,93%,-242%,145%,358%,-17%,-13%,-13%,84%,-2%,33%,
EPS in Rs,12.28,10.26,19.48,-148.99,12.14,53.59,43.74,37.62,32.65,59.90,60.66,73.05,110.01
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,7%,8%,9%,5%,0%,
