Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,32.83,32.34,33.81,35.28,44.40,44.07,44.27,66.62,85.59,64.51,56.59,65.02
  └─ Sales Growth %,,-1.49%,4.55%,4.35%,25.85%,-0.74%,0.45%,50.49%,28.47%,-24.63%,-12.28%,14.90%
Expenses,33.30,30.24,30.20,30.49,40.65,40.55,39.71,61.63,80.42,57.41,52.35,61.36
  └─ Material Cost %,81%,72%,69%,68%,77%,76%,77%,81%,82%,72%,71%,73%
    └─ Raw material cost,26.73,23.37,23.42,23.95,34.24,33.42,34.02,53.75,69.85,46.35,39.97,47.21
    └─ Change in inventory,0.02,-0.04,0.02,-0.02,-0.06,0.10,0.01,-0.04,-0.01,0.06,-0.01,0.00
  └─ Manufacturing Cost %,9%,1%,1%,1%,1%,2%,1%,1%,1%,1%,1%,0%
  └─ Employee Cost %,4%,8%,9%,10%,8%,8%,7%,6%,5%,8%,10%,9%
  └─ Other Cost %,7%,12%,10%,7%,6%,6%,6%,5%,7%,8%,11%,13%
Operating Profit,-0.47,2.10,3.61,4.79,3.75,3.52,4.56,4.99,5.17,7.10,4.24,3.66
OPM %,-1.43%,6.49%,10.68%,13.58%,8.45%,7.99%,10.30%,7.49%,6.04%,11.01%,7.49%,5.63%
Other Income,2.03,0.09,0.35,0.98,0.57,1.00,2.15,1.37,1.19,1.68,1.89,2.24
  └─ Exceptional items,0.00,-0.01,0.00,0.67,0.00,-0.05,0.00,0.05,0.00,0.00,0.03,0.00
  └─ Other income normal,2.03,0.10,0.35,0.31,0.57,1.05,2.15,1.32,1.19,1.68,1.86,2.24
Interest,0.79,0.68,0.67,0.52,0.23,0.09,0.08,0.02,0.05,0.08,0.08,0.48
Depreciation,0.27,0.21,0.18,0.14,0.13,0.14,0.18,0.25,0.29,0.35,0.82,1.02
Profit before tax,0.50,1.30,3.11,5.11,3.96,4.29,6.45,6.09,6.02,8.35,5.23,4.40
Tax %,32.00%,34.62%,32.80%,22.31%,28.03%,33.33%,25.89%,30.05%,27.74%,25.39%,26.58%,30.00%
Net Profit,0.34,0.85,2.09,3.98,2.82,2.84,4.77,4.26,4.36,6.23,3.83,3.08
  └─ Profit from Associates,0.00,0.00,0.00,0.00,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Minority share,0.00,-0.01,-0.02,0.00,0.00,0.00,-0.04,-0.03,-0.04,-0.05,-0.03,0.15
  └─ Exceptional items AT,0.00,-0.01,0.00,0.49,0.00,-0.03,0.00,0.04,0.00,0.00,0.02,0.00
  └─ Profit excl Excep,0.34,0.86,2.09,3.49,2.82,2.87,4.77,4.22,4.36,6.23,3.81,3.08
  └─ Profit for PE,0.34,0.85,2.07,3.49,2.82,2.87,4.73,4.19,4.32,6.18,3.78,3.23
  └─ Profit for EPS,0.34,0.84,2.07,3.98,2.82,2.84,4.73,4.23,4.32,6.18,3.80,3.23
  └─ Profit Growth %,,149.97%,143.56%,68.60%,-19.20%,1.77%,64.81%,-11.41%,3.10%,43.06%,-38.83%,-14.55%
EPS in Rs,0.45,1.12,2.76,0.78,0.55,0.55,0.92,0.83,0.84,1.21,0.74,0.63
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,16.32%,24.31%,24.32%,30.83%,-0.00%,12.41%,60.55%,-0.00%
