Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,398,434,611,782,666,847,973
  └─ Sales Growth %,,8.95%,40.70%,28.04%,-14.88%,27.30%,14.82%
Expenses,379,390,554,706,620,761,891
  └─ Material Cost %,85%,80%,81%,81%,83%,80%,82%
    └─ Raw material cost,341,346,507,637,549,669,809
    └─ Change in inventory,-1,3,-11,-3,1,5,-8
  └─ Manufacturing Cost %,5%,5%,5%,5%,5%,5%,0%
  └─ Employee Cost %,2%,2%,2%,2%,2%,2%,2%
  └─ Other Cost %,2%,2%,2%,3%,3%,3%,7%
Operating Profit,20,44,57,76,46,87,82
OPM %,5%,10%,9%,10%,7%,10%,8%
Other Income,8,5,10,10,6,10,16
  └─ Exceptional items,0.03,1.30,1.27,0.91,-0.81,1.72,0.00
  └─ Other income normal,7.85,3.81,8.95,8.70,6.75,8.29,15.84
Interest,6,5,7,5,4,1,1
Depreciation,2,2,3,3,5,5,5
Profit before tax,19,41,57,77,43,90,92
Tax %,27%,30%,25%,26%,26%,26%,25%
Net Profit,14,29,43,57,32,67,69
  └─ Minority share,-1,-5,-3,-2,-1,-3,-3
  └─ Exceptional items AT,0,1,1,1,-1,1,-0
  └─ Profit excl Excep,14,28,42,56,33,65,69
  └─ Profit for PE,13,23,39,54,31,63,66
  └─ Profit for EPS,13,23,40,55,31,64,66
  └─ Profit Growth %,,75%,73%,39%,-42%,100%,5%
EPS in Rs,106.23,192.13,327.95,17.32,7.88,16.34,16.81
Dividend Payout %,0%,0%,0%,0%,0%,6%,7%
